# minor-convocation-of-the-soil · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: 1fb281a49647262da6164014039ee0750f83c58305b8112678c0a56f4f801849
# title: Convocación de la Tierra
# nav_label: Convocación de la Tierra
# description: Convocación de la Tierra (Convocation of the Soil), arcano menor de Stonetop: una losa hundida con runas de los Hacedores que enseña un ritual de sangre para despertar a los espíritus del suelo y enriquecer la cosecha.
PAGE	524
H3	Una losa hundida
P	<i>inmóvil</i>
P	Un gran bloque de piedra antiguo, de quizá 1,5 metros de ancho, cubierto de barro y algas. Tiene runas de los Hacedores (Makers), apenas visibles. Runas de la tierra, de los espíritus y del rejuvenecimiento.
P	La losa revela el funcionamiento de un ritual, que puedes aprender si…
C	… sacas la losa del lodo.
C	… la limpias con cuidado.
C	… descifras las runas de los Hacedores.
C	… estudias las runas durante unas semanas.
C	… practicas el lanzamiento del hechizo, con el riesgo de dañar la tierra cercana o de despertar algo peligroso de su interior.
H3	Convocación de la Tierra
P	Cuando <b><i>derramas tu sangre sobre la tierra y pronuncias</i></b> <b><i>las palabras de convocación</i></b>, los espíritus del suelo se agitan y despiertan, llenando la tierra de vida, energía y nutrientes.
P	Cuando <b><i>lanzas este hechizo sobre los campos a principios</i></b> <b><i>de primavera, derramando una cantidad aterradora de tu sangre</i></b>, marca las tres debilidades y pierde todos tus HP menos 1.
P	Si el asentamiento gasta 1 de Excedente en sembrar los campos en barbecho, la cosecha de este otoño generará
P	1d4+1 de Excedente adicional.
P	Sin embargo, debes tirar +WIS: <b>con 10+</b>, no hay consecuencias; <b>con 7-9</b>, antes de pleno verano debes regar la tierra con la sangre vital de una bestia grande y sana (como un caballo, una mula, un bisonte o un uro) o, si no, los cultivos adicionales se malograrán y se perderá el Excedente adicional; <b>con 6-</b>, el hechizo funciona, pero despiertas del suelo algún espíritu o crecimiento peligroso, o liberas algún mal aprisionado en la tierra.
