# minor-darkwalker-cloak · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: 8ac78e1f14b557df9963a575256b7d19a6ea1144456c83edcbac938390b56a57
# title: Capa del Caminante Oscuro
# nav_label: Capa del Caminante Oscuro
# description: Capa del Caminante Oscuro (Darkwalker Cloak), arcano menor de Stonetop: una capa de piel negra alimentada con tu sangre que te convierte en una nube de sombra al recibir un golpe.
PAGE	528
H3	Una capa de piel harapienta
P	◇ <b>,</b> <i>abrigado</i><b>,</b> <i>mágico</i>
P	La piel de alguna bestia desconocida de pelaje negro. Sus cerdas son rígidas y el aire a su alrededor siempre está frío.
P	Cuando <b><i>te pones la capa</i></b>, puedes tolerar hasta el frío más atroz y ver en la sombra más oscura, pero la luz intensa te hace daño en los ojos y el calor, aunque sea el de una hoguera, se te hace casi insoportable.
P	Seguro que esta piel harapienta esconde algo más. Para desentrañar sus secretos, debes…
C	… llevarla puesta sin interrupción durante siete días y siete noches.
C	… acechar a una bestia de sangre caliente en una noche sin luna y untar la piel con su sangre.
C	… sufrir (o infligirte) una herida grave mientras llevas la piel, empapándola con tu propia sangre fresca.
H3	Capa del Caminante Oscuro
P	Cargas ◇◇◇◇
P	Cuando <b><i>te abres las venas y empapas la</i></b> <b><i>piel con tu propia sangre fresca,</i></b> pierdes 1d8 HP y marcas una debilidad. Si la capa no tiene Cargas, gana 1d4 Cargas. Las cicatrices de la herida son de un blanco brillante y nunca se borran.
P	Cuando <b><i>sufres un golpe o una lesión física mientras</i></b> <b><i>llevas la Capa del Caminante Oscuro</i></b>, pierde 1 Carga y te transformas en una nube de sombra. Al final no sufres ningún daño y puedes revolotear y volar durante unos segundos antes de recuperar tu forma. Todo lo que tocas en esta forma sombría queda cubierto de escarcha. Este efecto no se activa si la piel no tiene Cargas.
P	Cuando <b><i>la luz directa del sol o la luz sagrada tocan la</i></b> <b><i>Capa del Caminante Oscuro,</i></b> o <b><i>cualquiera que no seas tú se la pone</i></b>, pierde todas sus Cargas.
