# minor-flying-cloak · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: 3f5f1fb30efb279908bb3b21b89d5f607a270fba210be7356d732f1302884677
# title: Capa Voladora
# nav_label: Capa Voladora
# description: Capa Voladora (Flying Cloak), arcano menor de Stonetop: una capa bordada con nubes que encierra un espíritu de la tormenta capaz de llevarte volando.
PAGE	522
H3	Una capa ricamente bordada
P	◇, <i>mágico</i>, <i>abrigado</i>
P	Una lana de una finura exquisita, teñida de un gris azulado pálido y bordada con nubes estilizadas. El borde luce runas de un blanco azulado cosidas con hilo de eterio (aetherium). Parece húmeda, huele a lluvia y a ozono, y ondea con una brisa que no existe.
P	Cuando <b><i>te pones la capa</i></b>, percibes la presencia que hay atada en su interior, vibrante e impaciente. Para desentrañar los misterios de la capa, debes...
C	… averiguar el nombre del espíritu atado.
C	… descifrar la palabra de mando, bordada en la antigua escritura de los Hacedores (Makers).
C	… doblegar al espíritu a tu voluntad, arriesgándote a que escape (y cause destrozos).
H3	Capa Voladora
P	Cuando <b><i>llevas la capa y pronuncias la palabra de</i></b> <b><i>mando</i></b>, el espíritu de la tormenta de la capa cobra vida y te obedece como un seguidor. Nunca quiere aterrizar; debes gastar su Lealtad o Persuadirlo.
ICON	icons/spirit.svg
H3	El espíritu de la capa
P	<i>Espíritu, mágico, orgulloso, mudo</i>
P	<b>HP</b> 13; <b>Armadura</b> 1 (amorfo)
P	<b>Daño</b> viento azotador, lluvia, escombros d6
P	(<i>próximo, área</i>)
P	<b>Instinto</b> «no oír» tus órdenes
P	• Llevar a su amo por los aires sobre un colchón de vientos arremolinados
P	• Manifestar una tormenta mientras vuela
P	• Causar estragos en su entorno
P	• Lanzar rayos desde una tormenta desatada, d10+3 (<i>lejos</i>, <i>contundente</i>, <i>recarga</i>)
P	<b>Coste</b> volar de acá para allá durante horas (Lealtad ◇◇◇ )
P	<b>HP</b>
P	Empieza en 13
