# minor-groundskimmer · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: 9c7a664ddb726cc31d443a9a2dac8e99e10a0570c9fa11faab08631e1e96fcac
# title: Rasatierra
# nav_label: Rasatierra
# description: Rasatierra (Groundskimmer), arcano menor de Stonetop: una extraña embarcación de dos cascos con bandas de eterio que, reparada, flota sobre el suelo y navega a vela por las Llanuras.
PAGE	532
H3	Un vehículo extraño
P	<i>grande, mágico, frágil</i>
P	Es como dos de esas canoas que usan en Lindemarjal (Marshedge), pero más grandes y con grandes aletas en la parte de atrás.
P	Están unidas con maderos y una plataforma encima. Una canoa luce un mástil alto partido por la mitad, al que aún está sujeto un triángulo de tela rasgado. Buena parte de la madera está podrida. Las canoas tienen bandas de eterio (aetherium) y están lastradas con piedras.
P	Sospechas que es algún tipo de vehículo, pero para desentrañar sus misterios…
C	… necesitas un carpintero hábil, buena madera (Valor 2), una vela nueva (Valor 1) y una estación dedicada a las reparaciones.
C	… te arriesgas a dañarlo aún más o a que el vehículo o el eterio se vayan flotando (o ambas cosas).
C	… debes sintonizarte con el eterio para controlar cuánto flota.
C	… y otra persona debe pasar una estación aprendiendo a pilotar el trasto, con el riesgo de lesionarse y dañar la nave.
H3	Rasatierra
P	<i>grande, mágico, peligroso,</i> requiere una tripulación de 2 El rasatierra puede transportar más o menos lo mismo que un carro cargado hasta arriba. Cuando <b><i>agarras la caña del timón</i></b> <b><i>y te concentras</i></b>, puedes ajustar cuánto repele la tierra el eterio de la nave. Cuando <b><i>lo ajustas</i></b> <b><i>correctamente a su carga actual</i></b>, flota unos pies por encima del suelo y puede navegar a vela por el paisaje. Con buen viento y a un ritmo seguro, puede cruzar las Llanuras (Flats) de lado a lado en unas 8 horas. Navegar contra el viento es mucho más lento y requiere un rumbo en zigzag.
P	El mal tiempo, la velocidad alta, volar demasiado alto, el terreno accidentado, esquivar obstáculos, los daños, los impactos y los cambios bruscos de carga implican Desafiar el Peligro (por tu parte, la de tu tripulación o la de tus pasajeros).
P	Navegar por el Gran Bosque (Great Wood) es imposible (es demasiado denso). Salirse de los caminos en las Tierras Escalonadas (Steplands), las Estribaciones (Foothills) o las montañas es suicida; incluso ceñirse a los Caminos de los Hacedores (Makers' Roads) en esas regiones es peligroso.
