# minor-horn-of-storms · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: 9bf1be51f0e509e32c9e0455add3e1a9f8143d89beafa92f9249e7bb22b4f6b1
# title: Cuerno de las Tormentas
# nav_label: Cuerno de las Tormentas
# description: Cuerno de las Tormentas (Horn of Storms), arcano menor de Stonetop: un fino cuerno para beber que, si te emborrachas con él, desata una tormenta sobre ti.
PAGE	535
H3	Un fino cuerno para beber
P	◇, <i>hermoso, mágico</i>
P	Te lo quedaste de un desconocido. No sé, quizá en una apuesta, o en un concurso, o como regalo a cambio de algún favor. ¿O quizá se lo quitaste sin su consentimiento? Sea como sea, parecía algo reservado sobre el cuerno, casi contento de dejártelo. Y justo antes de separaros, te fijaste en el dedo que le faltaba en la mano izquierda.
P	Desde entonces, el cuerno parece llamarte y retarte a beber de él a lo grande. Para desentrañar sus misterios, debes...
C	… llenarlo de whisky o de un licor igual de fuerte.
C	… beberte el contenido de un solo trago (marca <i>aturdido</i>).
C	… arriesgarte a perder el conocimiento, a hacer el tonto o, como mínimo, a marcar más debilidades.
C	… sobrevivir a la tormenta que invocas como resultado (ver reverso).
H3	Cuerno de las Tormentas
P	Cuando <b><i>te emborrachas a conciencia bebiendo del</i></b> <b><i>cuerno,</i></b> marca una debilidad. Invocas una tormenta centrada en tu ubicación. Tira cuatro d4. Por cada debilidad adicional que marques, tira un d4 más.
P	<b><i>Hasta que pase la tormenta</i></b>, no puedes borrar debilidades.
P	Asigna un d4 a cada uno de los siguientes:
P	____ <b>Inicio: 1</b> = al día siguiente; <b>2-3</b> = en unas horas; <b>4</b> = antes de una hora.
P	____ <b>Intensidad: 1</b> = es peligroso estar a la intemperie;
P	<b>2-3</b> = daña las estructuras endebles; <b>4</b> = arrasa las estructuras endebles y daña las sólidas.
P	____ <b>Extensión: 1</b> = una milla más o menos; <b>2-3</b> = una docena de millas más o menos; <b>4</b> = decenas o veintenas de millas.
P	____ <b>Duración</b> (una vez que arranca)<b>: 1</b> = menos de una hora; <b>2-3</b> = unas horas; <b>4</b> = un día más o menos.
P	56
