# minor-impudent-polymorph · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: d418e372accf9b344648e18b2c42a0474738ed2bbc2ebe54bb17cc7637273425
# title: Metamorfosis Insolente
# nav_label: Metamorfosis Insolente
# description: Metamorfosis Insolente (Impudent Polymorph), arcano menor de Stonetop: una tinaja de tejo que ata el espíritu de un altivo Señor Verde, al que puedes obligar a cambiar tu forma.
PAGE	525
H3	Una gran tinaja de madera
P	◇◇ <b>,</b> <i>aparatoso</i><b>,</b> <i>frágil</i><b>,</b> <i>mágico</i>
P	Mide 30 pulgadas de alto y está tallada en tejo, con una tapa en forma de león con cuernos y sellada con cera.
P	Su superficie está agrietada y atravesada por esquirlas de cristal rojo. Al tocarla, sientes un enorme fastidio y un leve atisbo de miedo.
P	Para desentrañar los misterios de la tinaja, debes…
C	… lavar su superficie con tu propia sangre fresca (pierdes 1d10 HP y marcas una debilidad).
C	… comulgar con el espíritu del altivo Señor Verde (Green Lord) al que está atada esta tinaja.
C	… aprender a usar los cristales rojos para atormentar al espíritu del Señor Verde.
C	… convencer al espíritu atado del Señor Verde para que cambie tu forma.
P	Si <b><i>se abre la tinaja</i></b>, se pierde toda su magia.
H3	Metamorfosis Insolente
P	Ira ◇◇◇◇◇◇◇◇◇
P	Cuando <b><i>interrumpes la idílica vida de ultratumba del</i></b> <b><i>Señor Verde atado a la tinaja y le exiges que</i></b> <b><i>cambie tu forma,</i></b> describe el cambio y elige tantas como te atrevas:
B	El cambio dura cuanto quieras (si no, dura hasta que saques 6- en un movimiento)
B	El cambio es rápido y sencillo (si no, tarda minutos o incluso horas)
B	Te adaptas enseguida a la nueva forma (si no, marca una debilidad)
B	Elige 2 de tus estadísticas; intercambia sus valores hasta que termine el cambio
P	Después tira +CHA: <b>con 10+</b>, el espíritu obra el cambio tal como pediste; <b>con 7-9</b>, obra el cambio, pero ganas tanta Ira como opciones hayas elegido; <b>con 6-</b>, el espíritu se rebela y te retuerce el cuerpo, infligiendo 1d10 de daño por cada punto de Ira que tengas. Si sobrevives, borra toda la Ira.
