# minor-mantle-wraiths · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: e4f9376f94c9c293e62a9b425844ca1c6dc9ef8d19fa2090adc8b8804b640dd6
# title: Espectros del Manto
# nav_label: Espectros del Manto
# description: Espectros del Manto (Mantle Wraiths), arcano menor de Stonetop: un manto andrajoso adornado con dientes humanos al que están atados unos espectros hambrientos de almas.
PAGE	512
H3	Un manto andrajoso
P	◇, <i>abrigado, mágico</i>
P	Se encontró sobre un esqueleto limpio de toda carne y con lo que solo pueden describirse como marcas de mordiscos por todos los huesos. Al examinar el manto de cerca se ven sigilos tejidos con hilo plateado y dientes humanos cosidos a los flecos como cuentas decorativas.
P	Puedes desvelar el poder de este manto…
C	… llevándolo puesto durante tres días y tres largas, larguísimas noches, soportando las pesadillas.
C	… sometiendo a los babeantes espectros atados a él.
H3	Espectros del Manto
P	Cuando <b><i>sueltas a los espectros atados al</i></b> <b><i>manto</i></b>, trátalos como seguidores. Detestan volver al manto; debes gastar su Lealtad o Persuadirlos.
ICON	icons/spirit.svg
H3	Espectros del manto
P	<i>Grupo</i> (3), <i>espíritu, no muerto, aterrador, feroz</i>
P	<b>HP</b> 13; <b>Armadura</b> 1 (amorfo)
P	<b>Daño</b> drenaje vital d8 (<i>mano</i>, ignora la armadura)
P	<b>Instinto</b> desmandarse
P	<b>Cualidades especiales</b> sin poder a la luz del día
P	• Susurrar sus anhelos a quien lo lleva
P	• Manifestar una forma de sombra y frío (solo les daña la plata y la sal)
P	• Abalanzarse sobre los vivos
P	• Chupar la vitalidad de su presa
P	<b>Coste</b> almas con las que darse un festín (Lealtad ◇◇◇ )
P	<b>HP</b>
P	Empiezan en 13 cada uno
P	10
