# minor-opening-the-way · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: 27eb42b8ac31eb1208c4715f84daab1e345c0984da62fa44a675b5e875b63881
# title: Abrir el Camino
# nav_label: Abrir el Camino
# description: Abrir el Camino (Opening the Way), arcano menor de Stonetop: una misiva antigua que revela cómo abrir pasajes entre portales invocando el axioma del contagio local.
PAGE	517
H3	Una misiva gastada por el tiempo
P	<i>frágil</i>
P	Una carta en un papiro desvaído y picado, escrita en una forma arcaica de la lengua del Sur. Invita a «Boas» a hacer una visita por medio de «tu portal más cercano», con instrucciones y un círculo de sigilos arcanos. «Pregunta por Calcus cuando llegues».
P	Para desentrañar los misterios de estos portales, debes…
C	… traducir el dialecto arcaico.
C	… encontrar un portal (distinto del que aparece en la misiva).
C	… averiguar cómo «invocar el axioma del contagio local».
C	… conseguir una bolsa de cinabrio en polvo ◇ (1d4+8 usos, Valor 2).
C	… intentar lanzar el hechizo por primera vez y arriesgarte a lanzarlo mal.
H3	Abrir el Camino
P	◇ bolsa de cinabrio en polvo (◇◇◇◇◇◇◇◇◇◇◇◇ usos, Valor 2)
P	Cuando <b><i>usas tinta de cinabrio en polvo para</i></b> <b><i>trazar con cuidado los sigilos de un portal dentro de los</i></b> <b><i>sigilos permanentes de otro, y luego invocas</i></b> <b><i>el axioma del contagio local</i></b>, se abre un pasaje entre los portales que permanece hasta que te alejas de ellos o revocas el axioma. Los sigilos que dibujaste desaparecen entonces. Atravesar los portales suele ser seguro e instantáneo.
P	Cuando <b><i>estás ante un portal y mantienes los</i></b> <b><i>sigilos de otro portal perfectamente en tu mente</i></b>, marca una debilidad para manifestar esos sigilos como líneas de luz resplandeciente. Cuando <b><i>luego invocas el</i></b> <b><i>axioma del contagio local</i></b>, tira +INT: <b>con 10+</b>, los portales se abren, pero se cierran en cuanto flaquea tu concentración; <b>con 7-9</b>, como con 10+, pero solo si marcas otra debilidad; <b>con 6-</b>, marca una debilidad y te desmayas por el esfuerzo.
P	20
