# minor-runes-of-creation · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: d21e81fbeb568983fe157e242c9d45800dcfdebd7ac91503eaae5d095b20bf9e
# title: Runas de la Creación
# nav_label: Runas de la Creación
# description: Runas de la Creación (Runes of Creation), arcano menor de Stonetop: una caja rompecabezas de metal que guarda las runas y la Palabra Silenciosa capaces de moldear, endurecer, embellecer o inflamar un objeto.
PAGE	539
H3	Una caja rompecabezas de metal
P	◇, <i>indestructible</i>
P	Un cubo de 6 pulgadas de un metal gris mate, cubierto de bisagras, pomos, diales, correderas, palancas y cosas así. Una obra de un genio loco, que resiste todo intento de abrirla por la fuerza bruta.
P	Para desentrañar sus misterios, debes...
C	… tirar +INT para abrir la caja: <b>con 10+</b>, te lleva unos días de trasteo; <b>con 7-9</b>, te lleva unas cuantas semanas obsesivas; <b>con 6-</b>, te supera.
C	… pasar una estación descifrando los símbolos grabados en su interior.
C	… arriesgarte a no poder descifrar nunca los símbolos o a desarrollar alguna rareza mental al hacerlo (o ambas cosas).
C	… comulgar con un espíritu primordial y aprender de él las Palabras Silenciosas.
C	… pasar unas semanas practicando el hechizo, con el riesgo de sufrir toda clase de daños y causar daños colaterales.
H3	Runas de la Creación
P	Cuando <b><i>inscribes con cuidado un objeto con las</i></b> <b><i>runas de la creación</i></b>, elige 1 efecto deseado:
B	Adoptará cualquier forma que imagines
B	Se volverá <i>indestructible</i>
B	Se volverá <i>hermoso</i>
B	Arderá con un calor terrible (1d10 de daño, <i>sucio</i>), aunque solo sea un instante
P	Cuando <b><i>pronuncias la Palabra Silenciosa que completa</i></b> <b><i>el hechizo</i></b> (alcance <i>lejos</i>), marca una debilidad mientras las fuerzas elementales fluyen a través de ti hacia el objeto. El efecto funciona, pero tira +CON: <b>con 10+</b>, elige 1; <b>con 7-9</b>, elige 1 y el DJ elige otra; <b>con 6-</b>, las 3.
B	Marca otra debilidad y pierde 1d10 HP
B	Los elementos se desbocan y provocan un incendio/terremoto/alud/tormenta/etc.
B	El efecto solo dura mientras te concentras en él, y después el objeto sufre un daño a elección del DJ
P	64
