# minor-staff-of-magnetism · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: 8cc5cdae8c1c13fa439033cfa8f8683c699c1b57c54e223b26cca235dfe23f8f
# title: Báculo del Magnetismo
# nav_label: Báculo del Magnetismo
# description: Báculo del Magnetismo (Staff of Magnetism), arcano menor de Stonetop: un báculo de roble ennegrecido con bandas rúnicas que, cargado por el rayo, percibe y mueve el hierro y otros metales.
PAGE	531
H3	Un báculo con bandas de cobre
P	◇, <i>mágico</i>
P	Un báculo corto, de unos 1,2 m de alto, que se afina hacia la punta, hecho de roble ennegrecido con un extraño brillo metálico. Lo adornan una docena de bandas de cobre corroído, cubiertas de verdín y desmoronadas en algunos puntos. Las bandas llevan en relieve runas de poder, algunas desgastadas o ilegibles.
P	El báculo aún hormiguea de poder. Para desentrañar sus misterios, debes…
C	… averiguar la forma de las runas que faltan o están dañadas.
C	… sustituir las bandas por otras nuevas de eterio (aetherium) con runas en relieve.
C	… aguantar firme mientras un rayo recorre el báculo, sintonizándote con su magia (te arriesgas a sufrir quemaduras graves o, como mínimo, a encogerte y soltarlo).
C	… pasar unos días practicando con el báculo cargado.
H3	Báculo del Magnetismo
P	Carga: ◇◇◇
P	Cuando <b><i>un rayo recorre el báculo,</i></b> este guarda
P	3 de Carga (máximo 3).
P	Cuando <b><i>el báculo tiene Carga y concentras tu</i></b> <b><i>voluntad y tus sentidos a través de él</i></b>, puedes percibir el hierro, el acero, el cobalto y el níquel a un alcance de <i>próximo</i> y mover esos objetos de forma lenta y torpe. Solo puedes manipular objetos que podrías levantar con una mano.
P	Cuando <b><i>recurres al poder almacenado en el</i></b> <b><i>báculo</i></b>, elige 1:
B	Ampliar sus efectos hasta un alcance de <i>lejos</i>
B	Mover objetos de forma rápida y repentina, lo bastante deprisa como para atacar o defender (<i>peligroso</i>)
B	Manipular un objeto de masa considerable, tanto como el peso muerto que puedas levantar
P	Cada vez que recurres al poder del báculo, tira
P	1d6. Si sacas más que la Carga actual
P	del báculo, pierde 1 de Carga.
P	48
