# minor-the-drowning-scale · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: 5beff948e9dbf102fd2bef570c1cf45dde2c9eb8f637f152d716cb48c8ec7601
# title: La Escama del Ahogado
# nav_label: La Escama del Ahogado
# description: La Escama del Ahogado (The Drowning Scale), arcano menor de Stonetop: un colgante frío y húmedo que guarda el último aliento de los moribundos para que puedas pasar sin aire y resistir el frío.
PAGE	518
H3	Un colgante extraño
P	<i>mágico</i>
P	Un amuleto extraño en un sencillo cordón de cuero, como una escama de algún material tornasolado. Es frío y húmedo al tacto. La primera vez que te lo pones, todos los que están cerca tiritan de frío. Poco después, empiezas a oír unos susurros ásperos, como inspiraciones.
P	Para desentrañar los secretos del colgante…
C	… llévalo sin quitártelo durante un ciclo lunar y responde con sinceridad a sus preguntas.
C	… mantente bajo el agua hasta correr el riesgo de ahogarte.
C	… ahoga a otra persona y ofrece sus últimas bocanadas al colgante.
H3	La Escama del Ahogado
P	Aliento: ◇◇◇
P	Cuando <b><i>te inclinas sobre un moribundo, le sorbes</i></b> <b><i>su último aliento y lo exhalas en el colgante</i></b>, tira +CON: <b>con 10+</b>, guarda +1 de Aliento; <b>con 7-9</b>, elige 1:
B	Guarda 1 de Aliento, pero te desgarra los pulmones; marca <i>abatido</i> y sufre un fuerte ataque de tos.
B	El colgante sorbe con avidez el último aliento, se enfría más y suspira; tú, por desgracia, no obtienes ningún beneficio.
P	Mientras tengas Aliento, el frío extremo no te afecta ni te daña. Gasta 1 de Aliento para pasar sin aire hasta una hora.
P	Cuando <b><i>te quitas el colgante</i></b>, pierdes todo el Aliento que tengas.
