# minor-unliving-chimera · es · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: es
# source_sha256: 0ee8ebf89a532ca42c4593e9ba1456cd185ac3dbb0223592faddbf06bdb681eb
# title: Quimera No Viviente
# nav_label: Quimera No Viviente
# description: Quimera No Viviente (Unliving Chimera), arcano menor de Stonetop: un caldero oxidado en el que hierves huesos de bestias y tu propia sangre para alzar una quimera no muerta.
PAGE	524
H3	Un caldero oxidado
P	<i>inmóvil, mágico</i>
P	Lo bastante grande como para que un hombre adulto se meta dentro a gatas, picado y arañado, grabado con patrones en espiral semejantes a runas. Todo él está cubierto de herrumbre. Al menos, eso esperas que sea herrumbre.
P	La cosa tiene un aire siniestro, y percibes su poder. Para desentrañar los misterios del caldero, debes…
C	… frotar a fondo la herrumbre del caldero.
C	… pasar siete noches durmiendo en el caldero, con sueños inmundos, y marcar una debilidad cada vez.
C	… hervir los huesos de una bestia a la que amaras o valoraras de verdad, mezclándolos con un poco de tu sangre fresca.
C	… someter a tu control a la miserable criatura que surja.
H3	Quimera No Viviente
P	Cuando <b><i>hierves huesos de bestias en el caldero</i></b> <b><i>y les añades tu propia sangre fresca,</i></b> marca hasta 3 debilidades. Una quimera no viviente se alza del caldero. Trátala como un seguidor, con una etiqueta por cada bestia cuyos huesos hayas usado (<i>como un oso</i>, <i>como un búho</i>, etc.).
P	Por cada debilidad que hayas marcado, elige 1:
B	Es estable (si no, se deshace en un día)
B	No es <i>aparatosa</i>
B	Sustituye su instinto por «rehuir la luz»
ICON	icons/undead.svg
H3	Quimera no viviente
P	<i>No muerta, constructo, aterradora, aparatosa</i>
P	<b>HP</b> 3; <b>Armadura</b> 4 (0 contra el bronce)
P	<b>Daño</b> variable d6 (<i>mano</i>, quizá otras)
P	<b>Instinto</b> confundirse y arremeter
P	• Hacer algo que pudiera hacer una de las bestias que la componen
P	• Gemir de forma lastimera e inquietante
P	<b>Coste</b> mucha sangre fresca (Lealtad ◇◇◇ )
