# minor-aetherium-spear · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 9d296a21c043dc11a04b767f26642e6653376d601794f8e5b0ae559f16370d3b
# title: Lance d'éthérium
# nav_label: Lance d'éthérium
# description: Lance d'éthérium (Aetherium Spear), arcane mineur : une pointe de lance corrodée des Bâtisseurs qui déchaîne la foudre au combat.
PAGE	531
H3	Une pointe de lance corrodée
P	◇ <b>,</b> <i>magique</i>
P	Caché dans quelque coffre, caverne ou ruine des Bâtisseurs se trouve un morceau de cuivre, fortement corrodé et couvert de plaques de vert-de-gris. En plissant les yeux, on devine vaguement la forme d'une pointe de lance.
P	Et tiens, ne serait-ce pas là de faibles traces de runes ?
P	Pour percer les secrets de cette arme ancienne, tu dois…
C	… nettoyer soigneusement la corrosion avec les bons produits, sans détruire les runes ce faisant.
C	… déchiffrer les runes et la façon dont elles sont censées être chargées.
C	… infuser la pointe de lance restaurée avec de la foudre.
C	… monter la pointe de lance sur une hampe de bouleau.
C	… tremper la pointe de lance dans ton propre sang, pour en revendiquer le pouvoir comme tien.
H3	Lance d'éthérium
P	◇, <i>rapproché</i>, <i>de jet, magique,</i> +1 dégât
P	Quand tu <b><i>Croises le Fer avec la lance d'éthérium et</i></b> <b><i>obtiens un 7+</i></b>, tu peux marquer un handicap pour foudroyer ton adversaire, infligeant +1d6 dégâts (<i>puissant</i>, <i>bruyant</i>).
P	Quand tu pointes la lance d'éthérium vers tes ennemis et pousses un cri de guerre tonitruant, marque un handicap et déchaîne un éclair de foudre (<i>loin</i>, <i>zone</i>, <i>puissant</i>, <i>bruyant</i>, <i>dangereux</i>), en lançant +FOR pour Décocher au lieu de +DEX (et tu ne peux pas choisir d'épuiser des munitions). <b>Sur 6-</b>, en plus de ce que dit le MJ, la pointe de lance est vidée de son pouvoir et la hampe de bouleau est réduite en cendres — efface les 3 dernières cases à cocher au recto de cette carte.
