# minor-call-of-the-hunt · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: ec49800ea810eb7cfe739534bcfa67d520f9b0fbbf0201ffee5977fc3661fa87
# title: Appel de la chasse
# nav_label: Appel de la chasse
# description: Arcane mineur : une peau de loup qui te transforme en meute pour traquer et déchirer ta proie.
PAGE	523
H3	Une peau de loup
P	<i>magique</i>, <i>chaude</i>
P	Ce devait être une bête majestueuse, finement préservée, avec des pierres pâles en guise d'yeux et une attache pour la porter comme une cape à capuche. Mais quels que soient tes efforts, les taches rouges ne partent jamais de ses crocs.
P	La peau abrite un esprit puissant, pas seulement celui d'un loup mais celui de la Chasse elle-même. Pour percer ses secrets, tu dois…
C	… chasser une bête au clair de lune, seul, en portant la peau.
C	… lui arracher le foie à mains nues ou avec les dents et le manger, cru.
H3	Appel de la chasse
P	Quand tu <b><i>hurles à la lune montante, le visage barbouillé</i></b> <b><i>de sang et ne portant que la peau</i></b>, tu prends l'apparence d'un loup et appelles une meute à tes côtés.
P	Nomme ta proie et lance...
E	+1 si tu as son odeur ;
E	+1 si elle est seule, mais -1 sinon ; et
E	-1 si elle ne craindrait pas une meute de loups.
P	<b>Sur 7+</b>, tu acculles ta proie et infliges 2d6+4 dégâts (<i>sanglant</i>) avant que la meute ne se disperse et que tu rejettes ton moi-loup ; <b>sur un 10+</b>, choisis aussi 1 ;
P	<b>sur un 7-9</b>, choisis aussi 2.
B	Ta meute s'en prend sauvagement à un ou plusieurs innocents
B	Tu subis toi-même 2d6+4 dégâts <i>sanglants</i>
B	Ton instinct devient « se comporter comme un loup assoiffé de sang » jusqu'à ce que tu Montes de Niveau.
P	<b>Sur un 6-</b>, ta proie t'échappe et tu dois quand même choisir 2 éléments dans la liste ci-dessus.
P	32
