# minor-chimeric-transmogrification · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: f6c0e221926acc7e9308ae5981a57388e7a965164b800d2e52ef536405c577f2
# title: Transmutation chimérique
# nav_label: Transmutation chimérique
# description: Un vieux vélin couvert des glyphes des Seigneurs Verts, qui permet de transmettre le trait d'une bête à une autre.
PAGE	521
H3	Un vélin tendu
P	◇◇, <i>fragile</i>
P	Tendu sur un cadre de bois, ce vieux vélin est couvert des glyphes complexes et sinueux des Seigneurs Verts. Des dessins montrent des créatures se transformant pour acquérir les traits d'autres bêtes. Il semble constituer la base d'une sorte de sortilège.
P	Pour en percer les mystères et apprendre le sortilège, tu dois…
C	… déchiffrer les glyphes des Seigneurs Verts.
C	… passer plusieurs semaines à les étudier et à y méditer.
C	… expérimenter sur une bête d'au moins taille <i>petite</i>, comme une chèvre, un cochon ou un chien. Tu risques de tuer, d'estropier ou de muter horriblement la bête, et peut-être de la rendre folle.
H3	Transmutation chimérique
P	Quand tu <b><i>tends un fragment d'une bête (fourrure, os,</i></b> <b><i>etc.) et prononces les mots de la transmutation chimérique sur une autre</i></b>, lance +INT : <b>sur 10+</b>, le sortilège fonctionne ; <b>sur 7-9</b>, le sortilège fonctionne, mais seulement si tu marques un handicap.
P	Quand <b><i>le sortilège fonctionne</i></b>, lance 1d10+CON. Si ton résultat <b>égale ou dépasse les HP actuels de la cible</b>, nomme un trait de la bête que tu tiens — la forme de la cible se tord et se déforme, acquérant ce trait jusqu'à ce qu'elle dorme quelques heures. L'expérience est déroutante et alarmante ; la plupart des bêtes et des gens paniqueront. Si ton résultat est <b>inférieur aux HP actuels</b> <b>de la cible</b>, sa forme se tord et se déforme de façon alarmante pendant quelques secondes, mais elle repousse la transformation. <b>Dans les deux cas</b>, le fragment de bête que tu tiens est perdu, se desséchant jusqu'à disparaître.
