# minor-convocation-of-the-soil · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 1fb281a49647262da6164014039ee0750f83c58305b8112678c0a56f4f801849
# title: Convocation du sol
# nav_label: Convocation du sol
# description: Arcane mineur : une tablette engloutie qui réveille les esprits du sol pour enrichir les récoltes, à un prix.
PAGE	524
H3	Une tablette engloutie
P	<i>immobile</i>
P	Un gros et vieux bloc de pierre, peut-être 1,5 mètre de large, couvert de boue et d'algues. Il porte des runes des Bâtisseurs, à peine visibles. Des runes pour la terre, les esprits, et le rajeunissement.
P	La tablette révèle le fonctionnement d'un rituel, que tu peux apprendre si tu…
C	… extrais la tablette de la vase.
C	… la nettoies soigneusement.
C	… déchiffres les runes des Bâtisseurs.
C	… étudies les runes pendant quelques semaines.
C	… t'entraînes à lancer le sort, au risque d'abîmer le sol environnant ou de réveiller quelque chose de dangereux dans la terre.
H3	Convocation du sol
P	Quand tu <b><i>répands ton sang sur le sol et prononces</i></b> <b><i>les mots de convocation</i></b>, les esprits du sol s'agiteront et s'éveilleront, emplissant le sol de vie, d'énergie et de nutriments.
P	Quand tu <b><i>lances ce sort sur les champs au début</i></b> <b><i>du printemps, répandant une quantité effrayante de ton sang</i></b>, marque les trois handicaps et perds tous tes HP sauf 1.
P	Si la bourgade dépense 1 Surplus pour planter dans les champs en jachère, la récolte de cet automne générera
P	1d4+1 Surplus supplémentaire.
P	Cependant, tu dois lancer +SAG : <b>sur un 10+</b>, il n'y a aucune conséquence ; <b>sur un 7-9</b>, avant le milieu de l'été, tu dois arroser le sol avec le sang vital d'une grande bête en bonne santé (comme un cheval, une mule, un bison, ou un aurochs), sans quoi les récoltes supplémentaires échoueront et le Surplus supplémentaire sera perdu ; <b>sur un 6-</b>, le sort fonctionne mais tu réveilles un esprit ou une croissance dangereuse depuis le sol, ou libères un mal emprisonné dans la terre.
