# minor-dancing-wind-spirit · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: f09662df8813cc8c620d5c4539c7c29978cbb4f49fd5bb8fb967be31eb57b511
# title: Esprit du vent dansant
# nav_label: Esprit du vent dansant
# description: Arcane mineur : une flûte fêlée en bois rouge qui lie un espiègle esprit zéphyr, l'andalau.
PAGE	523
H3	Une flûte fêlée
P	◇, <i>grossier</i>, <i>magique</i>
P	Une longue flûte épaisse taillée dans du bois rouge, avec une fissure fine mais visible sur le dessous. Elle capte facilement le vent et produit un son flûté.
P	Quiconque joue quelques notes sur la flûte peut sentir qu'il y a de la magie ici.
P	Quand tu <b><i>passes quelques jours à t'exercer, jouant de</i></b> <b><i>la flûte là où le vent peut t'entendre</i></b>, lance
P	+CHA : <b>sur 10+</b>, coche 1 cercle ; <b>sur 7-9</b>, coche 1 cercle, mais tu invoques un esprit zéphyr irrité ;
P	<b>sur 6-</b>, tu ne progresses pas mais parviens tout de même à invoquer un zéphyr irrité.
MARK	3
P	Quand tu <b><i>coches les trois cercles</i></b>, tu débloques les mystères de la flûte.
H3	Esprit du vent dansant
P	Quand tu <b><i>joues un air pour faire danser le vent</i></b> <b><i>lui-même</i></b>, l'andalau (esprit zéphyr) lié à la flûte se manifeste. Traite-le comme un suivant ; il détient
P	1 point de Loyauté au départ. Quand tu <b><i>renvoies l'esprit</i></b> <b><i>alors qu'il ne détient aucune Loyauté</i></b>, la flûte se fend et se brise ; l'andalau est libéré.
ICON	icons/spirit.svg
H3	L'Andalau de la Flûte
P	<i>Esprit, minuscule, furtif, espiègle</i>
P	<b>HP</b> 8 ; <b>Armure</b> 0
P	<b>Dégâts</b> aucun
P	<b>Instinct</b> jouer et s'ébattre
P	• Se manifester comme une bourrasque de vent voletante (blessé seulement par le sel)
P	• Délivrer un message chuchoté
P	• Faire voleter des objets (poussière, feuilles, etc.)
P	• Agacer ou effrayer quelqu'un
P	<b>Prix</b> du divertissement (Loyauté ◇◇◇ )
P	<b>HP</b>
P	Commence à 8
