# minor-darkwalker-cloak · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 8ac78e1f14b557df9963a575256b7d19a6ea1144456c83edcbac938390b56a57
# title: Cape du marche-ténèbres
# nav_label: Cape du marche-ténèbres
# description: Arcane mineur : une cape de fourrure qui te transforme en ombre pour échapper au danger, rechargée par ton propre sang.
PAGE	528
H3	Une cape de fourrure élimée
P	◇ <b>,</b> <i>chaude</i><b>,</b> <i>magique</i>
P	La peau d'une bête inconnue au pelage noir. Ses poils sont raides et l'air alentour est toujours glacial.
P	Quand tu <b><i>revêts la cape</i></b>, tu peux tolérer même le froid le plus mordant et voir dans l'ombre la plus noire, mais la lumière vive blesse tes yeux et la chaleur, même celle d'un feu de camp, est presque insupportable.
P	Cette fourrure élimée cache assurément plus qu'il n'y paraît. Pour percer ses secrets, tu dois…
C	… la porter sans interruption pendant sept jours et sept nuits.
C	… traquer une bête à sang chaud par une nuit sans lune, en barbouillant la fourrure de son sang.
C	… subir (ou t'infliger) une grave blessure en portant la fourrure, la trempant de ton propre sang frais.
H3	Cape du marche-ténèbres
P	Charges ◇◇◇◇
P	Quand tu <b><i>t'ouvres les veines et trempes la</i></b> <b><i>fourrure de ton propre sang frais,</i></b> perds 1d8 HP et coche un handicap. Si la cape ne détient aucune Charge, elle gagne 1d4 Charges. Les cicatrices de la blessure sont d'un blanc éclatant et ne s'effacent jamais.
P	Quand tu <b><i>subis un coup ou une blessure physique en</i></b> <b><i>portant la Cape du marche-ténèbres</i></b>, elle perd 1 Charge et tu te transformes en un nuage d'ombre. Tu ne subis finalement aucun dommage et peux voleter et voler quelques secondes avant de te reformer. Tout ce que tu touches sous cette forme ombreuse se couvre de givre. Cet effet ne se déclenche pas si la fourrure n'a aucune Charge.
P	Quand <b><i>la lumière directe du soleil ou une lumière sainte touche la</i></b> <b><i>Cape du marche-ténèbres,</i></b> ou que <b><i>quelqu'un d'autre que toi la revêt</i></b>, elle perd toutes ses Charges.
