# minor-flaming-sword · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 61007e396dda1a172bb1cb4589484548a027f8d49c7d40d86f0751366e7df02a
# title: Épée flamboyante
# nav_label: Épée flamboyante
# description: L'Épée flamboyante, arcane mineur : une lame rouillée qui s'embrase et dont le Brasier grandit à chaque combat.
PAGE	534
H3	Une lame d'acier rouillée
P	◇, <i>rapproché</i>, <i>rudimentaire</i>
P	C'était clairement, autrefois, une très belle lame. L'acier porte un motif de volutes semblables à des runes, du moins là où la rouille n'a pas pris le dessus. La garde est noircie, avec des traces d'un enroulement de cuir depuis longtemps consumé. Le métal est chaud au toucher, comme s'il avait été laissé des heures sous le soleil d'été.
P	Pour percer les mystères de cette arme, tu dois...
C	… restaurer la lame, ce qui exige l'accès à une forge, quelques semaines de travail, et pas peu d'habileté.
C	… communier avec l'esprit de feu au sein de l'acier (<b>Instinct</b> de rechercher la gloire), et le convaincre que tu es digne de manier la lame.
C	… acquérir un fourreau capable de résister au feu et à la chaleur d'une forge.
H3	Épée flamboyante
P	◇, <i>rapproché</i>, <i>magnifique</i>, +1 dégât, 1 perforant
P	Brasier : ◇ nul, ◇ 1d4, ◇ 1d6, ◇ 1d8, ◇ 1d10
P	Quand tu <b><i>fais appel à l'esprit de feu en son sein,</i></b> la lame s'embrase (+<i>magique</i>, +<i>dangereux</i>) et projette de la lumière (<i>allonge</i>, <i>zone</i>). La garde devient brûlante ; porte des gants épais !
P	Quand tu <b><i>Croises le Fer avec l'Épée flamboyante</i></b>, après avoir résolu la manœuvre et infligé des dégâts, augmente le dé de Brasier d'un cran.
P	Quand tu <b><i>lances les dés pour faire une manœuvre en maniant</i></b> <b><i>l'épée</i></b>, subis des dégâts égaux au dé de Brasier (ignore l'armure).
P	Quand tu <b><i>infliges des dégâts avec l'épée</i></b>, ajoute le dé de Brasier.
P	Quand tu <b><i>rengaines l'épée</i></b>, le feu s'éteint et ne peut être rallumé tant que le dé de Brasier n'est pas nul.
P	Réduis le dé de Brasier d'un cran chaque heure.
