# minor-goldleaf-cloak · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 0ffdc246939001d8a9fe743d0a27e8171dfed39a346cb88c5aef682be0075389
# title: Cape de feuille d'or
# nav_label: Cape de feuille d'or
# description: Arcane mineur : une cape tannée dans une feuille du Chêne Doré, protégeant la vitalité et ramenant son porteur d'entre les morts.
PAGE	517
H3	Une feuille de chêne géante
P	◇, <i>magique</i>
P	Longue d'environ 2 mètres, cireuse et rigide, chatoyant d'un éclat doré irisé. Est-ce vraiment une feuille du Chêne Doré ?
P	Tu peux transformer la feuille en une cape merveilleuse, mais pour cela tu dois...
C	… apprendre les secrets de sa confection (auprès d'un Fae, d'un esprit de la nature sauvage, ou peut-être d'un serviteur favori de Danu).
C	… tanner la feuille avec un mélange d'eau de chaux, de guano de corbeau, de cervelle d'ours des cavernes, et de ton propre sang.
C	… la faire ajuster à tes mesures exactes par un tailleur d'un talent <i>exceptionnel</i>.
H3	Cape de feuille d'or
P	◇, <i>chaude</i>, <i>magique</i>
P	Quand tu <b><i>portes une cape de feuille d'or que tu as toi-même</i></b> <b><i>tannée et qui a été ajustée à tes</i></b> <b><i>mesures exactes</i></b>, alors tout ceci est vrai :
B	Tu es immunisé contre les effets qui drainent, volent ou éteignent ta vitalité, ton énergie ou ta force vitale.
B	Tu es immunisé contre les effets qui calment ou atténuent tes émotions.
B	Tu es entouré d'une lueur dorée constante (<i>main</i>, <i>zone</i>), rendant presque impossible de te cacher.
P	Quand tu <b><i>meurs et es enterré dans la terre,</i></b> <b><i>enveloppé dans ta cape de feuille d'or</i></b>, tu reviens à la vie comme si tu avais été enterré aux racines du Chêne Doré. Ta cape, cependant, se décompose en paillis et lambeaux.
