# minor-heliors-shining-ring · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 45da0e9ca0f589cb3939676ae9a47168ca89e0a544b241458f19edd8c44ac5e8
# title: Anneau Lumineux d'Hélior
# nav_label: Anneau Lumineux d'Hélior
# description: Arcane mineur : un anneau d'or qui accumule la lumière du jour pour repousser les ténèbres.
PAGE	516
H3	Un anneau d'or
P	<i>magique</i>
P	Ce simple anneau doré capte la lumière et brille, même dans l'obscurité. Sa seule présence emplit les gens de bien de paix et d'espoir, et les serviteurs des ténèbres d'une haine jalouse.
P	Tu peux percer les secrets de cet anneau, mais tu dois d'abord…
C	… porter l'anneau en continu pendant 40 jours, en assistant au lever du soleil chaque jour.
C	… accomplir un acte de charité en portant l'anneau, un acte qui change la vie de celui qui le reçoit.
C	… participer au culte dévot et rituel d'Hélior.
H3	Anneau Lumineux d'Hélior
P	Lumière du jour : ◇◇◇
P	Quand tu <b><i>passes le plus clair d'une journée à porter</i></b> <b><i>l'anneau et à vénérer Hélior en plein soleil</i></b>, garde 1 Lumière du jour en réserve.
P	Quand tu <b><i>portes l'anneau dans l'ombre ou l'obscurité</i></b> <b><i>et dépenses 1 Lumière du jour</i></b>, l'anneau irradie d'une lumière sacrée (<i>proche</i>, <i>zone</i>) douloureuse à regarder pour les créatures des ténèbres. Il brille pendant quelques heures, jusqu'à ce que tu l'éteignes, ou qu'un autre effet (comme les Invocations du Porte-Lumière) épuise son carburant ou l'étouffe.
P	Hélas, l'anneau brille aussi comme un phare psychique tant qu'il rayonne, alertant les serviteurs des ténèbres sur des kilomètres à la ronde de ta présence et de ta position.
