# minor-horn-of-storms · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 9bf1be51f0e509e32c9e0455add3e1a9f8143d89beafa92f9249e7bb22b4f6b1
# title: Cor des tempêtes
# nav_label: Cor des tempêtes
# description: Le Cor des tempêtes (Horn of Storms), arcane mineur de Stonetop : une corne à boire qui, vidée d'un trait, appelle une tempête à la mesure de l'ivresse de celui qui l'a bue.
PAGE	535
H3	Une belle corne à boire
P	◇, <i>magnifique, magique</i>
P	Tu l'as obtenue d'un inconnu. Peut-être sur un pari, ou dans un concours, ou en cadeau pour prix d'une gentillesse. Ou peut-être l'as-tu prise sans son consentement ? Quoi qu'il en soit, il semblait un peu gêné à propos de la corne, presque soulagé de te la laisser. Et juste avant que vous ne vous sépariez, tu as remarqué qu'il lui manquait un doigt à la main gauche.
P	Depuis, la corne semble t'appeler, te défiant d'y boire à grands traits. Pour en percer les mystères, tu dois...
C	… la remplir de whisky ou d'un alcool tout aussi fort.
C	… en boire le contenu d'une seule traite (coche <i>hébété</i>).
C	… risquer de tomber inconscient, d'agir en idiot, ou du moins de cocher d'autres handicaps.
C	… survivre à la tempête que tu invoques en conséquence (voir au verso).
H3	Cor des tempêtes
P	Quand tu <b><i>te saoules bien comme il faut à la</i></b> <b><i>corne,</i></b> coche un handicap. Tu appelles une tempête, centrée sur ta position. Lance quatre d4. Pour chaque handicap supplémentaire que tu coches, lance un d4 de plus.
P	<b><i>Tant que la tempête n'est pas passée</i></b>, tu ne peux pas effacer de handicaps.
P	Assigne un d4 à chacun des éléments suivants :
P	____ <b>Déclenchement : 1</b> = le lendemain ; <b>2-3</b> = dans quelques heures ; <b>4</b> = dans l'heure qui vient.
P	____ <b>Intensité : 1</b> = dangereuse à affronter dehors ;
P	<b>2-3</b> = endommage les structures faibles ; <b>4</b> = ravage les structures faibles et endommage les solides.
P	____ <b>Portée : 1</b> = un mille ou deux ; <b>2-3</b> = une douzaine de milles ou deux ; <b>4</b> = des dizaines ou des vingtaines de milles.
P	____ <b>Durée</b> (une fois lancée)<b>: 1</b> = moins d'une heure ; <b>2-3</b> = quelques heures ; <b>4</b> = une journée ou presque.
P	56
