# minor-impudent-polymorph · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: d418e372accf9b344648e18b2c42a0474738ed2bbc2ebe54bb17cc7637273425
# title: Métamorphose impudente
# nav_label: Métamorphose impudente
# description: Arcane mineur : un pot lié à l'esprit courroucé d'un Seigneur Vert, qui peut transformer ta forme au prix de son Courroux.
PAGE	525
H3	Un grand pot en bois
P	◇◇ <b>,</b> <i>encombrant</i><b>,</b> <i>fragile</i><b>,</b> <i>magique</i>
P	Haut de 75 centimètres et taillé dans l'if, avec un couvercle en forme de lion cornu, scellé à la cire.
P	Sa surface est fissurée et hérissée d'éclats de cristal rouge. Quand tu le touches, tu peux ressentir une grande irritation et juste une pointe de peur.
P	Pour percer les mystères du pot, tu dois…
C	… laver sa surface avec ton propre sang frais (perds 1d10 HP et coche un handicap).
C	… communier avec l'esprit du hautain Seigneur Vert auquel ce pot est lié.
C	… apprendre à utiliser les cristaux rouges pour tourmenter l'esprit du Seigneur Vert.
C	… convaincre l'esprit lié du Seigneur Vert de changer ta forme.
P	Si <b><i>le pot est ouvert</i></b>, toute sa magie est perdue.
H3	Métamorphose impudente
P	Courroux ◇◇◇◇◇◇◇◇◇
P	Quand tu <b><i>interromps l'idyllique vie après la mort du</i></b> <b><i>Seigneur Vert lié au pot et exiges qu'il</i></b> <b><i>change ta forme,</i></b> décris le changement et choisis-en autant que tu l'oses :
B	Le changement dure aussi longtemps que tu le souhaites (sinon, il dure jusqu'à ce que tu obtiennes un 6- sur une manœuvre)
B	Le changement est rapide et facile (sinon, il prend des minutes voire des heures)
B	Tu t'adaptes rapidement à la nouvelle forme (sinon, coche un handicap)
B	Choisis 2 de tes caractéristiques ; échange leurs valeurs jusqu'à ce que le changement prenne fin
P	Puis lance +CHA : <b>sur un 10+</b>, l'esprit opère le changement, exactement comme demandé ; <b>sur un 7-9</b>, il opère le changement, mais tu gagnes un Courroux égal au nombre de choix que tu as faits ; <b>sur un 6-</b>, l'esprit se rebelle et tourmente ton corps, infligeant 1d10 dégâts par point de Courroux que tu détiens. Si tu survis, efface tout ton Courroux.
