# minor-make-pliant-the-stone · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: ac4fc700bfc59b84c1f1deba10f5ade21b8f93ac98e32c02d6ebc96a20322ed2
# title: Rendre la pierre malléable
# nav_label: Rendre la pierre malléable
# description: Rendre la pierre malléable (Make Pliant the Stone), arcane mineur : un carillon en verre des Bâtisseurs qui amollit la pierre, le cristal ou le verre au son.
PAGE	525
H3	Un carillon en verre des Bâtisseurs
P	◇◇ <b>,</b> <i>indestructible</i><b>,</b> <i>magique</i><b>,</b> <i>bruyant</i><b>,</b> <i>dangereux</i>
P	Un cylindre d'environ 1,2 mètre de long et 8 centimètres de large, le verre étonnamment fin. Il résonne d'un carillon riche et sonore quand on le frappe doucement. Frappé fermement, le son est presque assourdissant et fait apparaître un motif ondulant à la surface de la pierre, du cristal ou du verre ordinaire à proximité.
P	Le carillon est un outil puissant, si tu peux en percer les secrets. Pour cela…
C	… saisis-le fermement et porte un coup solide et puissant, en lançant +CON : <b>sur 10+</b>, tu l'as maîtrisé ; <b>sur 7-9</b>, marque un handicap et tu devras réessayer ; <b>sur 6-</b>, demande au MJ ce qui tourne terriblement mal.
C	… passe une semaine environ à apprendre à contrôler le carillon résonnant.
C	… tu risques un dommage permanent à ton ouïe et des dégâts majeurs à tout ce qui se trouve à proximité pendant ton entraînement.
H3	Rendre la pierre malléable
P	Quand tu <b><i>frappes le carillon avec force et fais l'effort</i></b> <b><i>de garder ta prise dessus</i></b>, marque un handicap et lance +CON.
P	<b>Sur 10+</b>, tu gardes le contrôle et le carillon résonne pendant environ une minute. Tant qu'il résonne, toute pierre, cristal ou verre que tu touches avec le carillon devient mou et malléable, facile à façonner et à modeler. Plus le contact dure, plus la matière devient souple. Elle retrouve sa dureté quand le son cesse, mais garde sa forme actuelle.
P	<b>Sur 7-9</b>, choisis-en 1 :
B	Garde le contrôle comme sur un 10+, mais tu dois t'investir totalement dans l'effort — marque un handicap supplémentaire
B	Réalise que tu ne peux pas le contrôler et étouffe le carillon avant qu'il ne cause du tort (dis comment)
P	36
