# minor-mantle-wraiths · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: e4f9376f94c9c293e62a9b425844ca1c6dc9ef8d19fa2090adc8b8804b640dd6
# title: Spectres-manteaux
# nav_label: Spectres-manteaux
# description: Les Spectres-manteaux, arcane mineur : un manteau en lambeaux qui te lie des spectres baveux à traiter comme des suivants.
PAGE	512
H3	Un manteau en lambeaux
P	◇, <i>chaud, magique</i>
P	Trouvé sur un squelette dépouillé de toute chair et portant ce qu'on ne peut décrire que comme des marques de morsures tout le long de ses os. Un examen attentif du manteau révèle des sceaux tissés de fil argenté et des dents humaines cousues dans la frange comme des perles décoratives.
P	Tu peux percer le pouvoir de ce manteau en…
C	… le portant trois jours et trois longues, longues nuits, endurant les cauchemars.
C	… soumettant les spectres baveux qui lui sont liés.
H3	Spectres-manteaux
P	Quand tu <b><i>laisses échapper les spectres liés au</i></b> <b><i>manteau</i></b>, traite-les comme des suivants. Ils répugnent à retourner au manteau ; tu dois dépenser leur Loyauté ou les Persuader.
ICON	icons/spirit.svg
H3	Spectres-manteaux
P	<i>Groupe</i> (3), <i>esprit, mort-vivant, terrifiant, vicieux</i>
P	<b>HP</b> 13 ; <b>Armure</b> 1 (amorphe)
P	<b>Dégâts</b> drain de vie d8 (<i>main</i>, ignore l'armure)
P	<b>Instinct</b> de se déchaîner
P	<b>Qualités spéciales</b> impuissants en plein jour
P	• Chuchoter leurs désirs à celui qui porte le manteau
P	• Manifester une forme d'ombre et de froid (blessés seulement par l'argent et le sel)
P	• Se jeter sur les vivants
P	• Aspirer la vitalité de leur proie
P	<b>Prix</b> des âmes dont ils se repaissent (Loyauté ◇◇◇ )
P	<b>HP</b>
P	Commence à 13 chacun
P	10
