# minor-old-mothers-wine · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 2a1fb6bb8a668b001934fcc1a2ed1b87ae5aeb910ca76991fe2a3012dab29ad3
# title: Vin de la Vieille Mère
# nav_label: Vin de la Vieille Mère
# description: Le Vin de la Vieille Mère (Old Mother's Wine), arcane mineur : un vin de sureau, payé de souvenirs sacrifiés, qui ouvre les yeux à la magie des Fae.
PAGE	509
H3	Un petit livre étrange un petit livre étrange
P	<i>fragile</i>
P	Un petit manuel écrit sur ce qui semble être des feuilles souples. Il est rédigé dans l'écriture commune, mais en une séquence étrangement poétique de syllabes dénuées de sens.
P	Le manuel révèle la recette d'un vin de sureau débordant de magie Fae, mais pour apprendre la recette, tu dois soit...
C	… obtenir l'aide d'un poète Fae, ou peut-être de l'un du Peuple de la Forêt ; ou...
C	… risquer de te tromper dans la recette, empoisonnant ou maudissant quiconque boit le vin que tu brasses.
H3	Vin de la Vieille Mère
P	Souvenirs perdus : ◇◇◇◇◇◇
P	Quand tu <b><i>sacrifies un souvenir à un sureau</i></b> <b><i>chargé de baies</i></b>, dis-nous ce que tu as abandonné. Marque 1 souvenir perdu et lance 1d6 ; si tu obtiens moins que tes souvenirs perdus, change ton instinct et efface tes marques.
P	Quand tu <b><i>récoltes les baies et passes une saison</i></b> <b><i>à en faire du vin</i></b>, gagne une outre de Vin de la Vieille Mère (5 utilisations, magique).
P	Quand tu <b><i>t'enivres légèrement de Vin de la Vieille Mère</i></b>, dépense une utilisation. Pendant une nuit et un jour, tes yeux s'ouvrent à la magie Fae, ce qui signifie :
B	Tu vois la vérité derrière les illusions et les glamours Fae
B	Tu es immunisé aux enchantements Fae
B	Tu peux librement entrer dans les domaines Fae et emprunter les sentiers Fae
B	Le temps s'écoule normalement pour toi dans les domaines Fae
