# minor-sanctifying-mark · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: be2f4732f46299b0fcc0eac23b36eddd1b1727c923c31ddded33c7a14d5a95d6
# title: Marque de sanctification
# nav_label: Marque de sanctification
# description: La Marque de sanctification (Sanctifying Mark), arcane mineur : un sigile ancien du Marais de Ferrier qui repousse les ténèbres, le chaos et la mort.
PAGE	520
H3	Une arche croulante
P	<i>magique</i>
P	Sur une rare parcelle sèche du Marais de Ferrier, assiégée par la corruption, se dresse une arche ancienne qui tient encore debout — contre toute attente. Le lichen et la mousse y poussent, denses et sains, mais la clé de voûte reste dégagée, gravée d'un sigile qui fait pleurer les yeux et repousse le mal.
P	Tu peux apprendre les secrets de la marque de sanctification, mais pour cela tu dois…
C	… te purifier dans une eau fraîche et pure.
C	… apaiser ton esprit, contempler le sigile, et lancer +SAG : <b>sur un 10+</b>, le sigile devient clair ; <b>sur un 7-9</b>, le sigile deviendra clair après quelques jours de contemplation supplémentaires ;
P	<b>sur un 6-</b>, le sigile dépasse ta capacité à l'apprendre.
C	… passer quelques jours à mémoriser et pratiquer le sigile.
H3	Marque de sanctification
P	Quand tu <b><i>marques un objet du sigile de</i></b> <b><i>sanctification</i></b>, il repousse les êtres des ténèbres, du chaos et de la mort. Chaque fois que tu apposes la marque, une partie de toi (yeux, cheveux, peau, langue, etc.) pâlit, jusqu'à devenir d'un blanc saisissant.
P	Quand un <b><i>être des ténèbres, du chaos ou de la mort</i></b> <b><i>met pour la première fois le pouvoir de ta marque à l'épreuve</i></b>, lance +INT : <b>sur un 10+</b>, toutes ces créatures sont tenues à distance tant que ta marque demeure inviolée ; <b>sur un 7-9</b>, ces créatures ressentent l'envie de fuir et sont retenues pour l'instant, mais des entités puissantes peuvent se forcer à l'ignorer.
