# minor-searing-touch · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 6ff10a7fbd24388b2cf3da9b2247407f4468aa76763f25ba3405a85dc02c0869
# title: Toucher brûlant
# nav_label: Toucher brûlant
# description: Le Toucher brûlant (Searing Touch), arcane mineur : un fer à marquer runique des Seigneurs de la Forge, qui embrase les mains de son maître d'un feu blanc.
PAGE	534
H3	Un fer à marquer runique
P	◇, <i>magique</i>
P	Trouvé dans l'atelier de quelque Seigneur de la Forge, encore serré dans un étau. La tête a une forme runique,
P	15 par 15 centimètres, avec de plus petites runes gravées sur sa surface. Ou du moins, sur la majeure partie de sa surface. Quelques centimètres restent vierges, le travail manifestement inachevé.
P	Pour percer les mystères de ce fer et faire tien son pouvoir, tu dois...
C	… déchiffrer le sens des runes, et identifier celles qui manquent.
C	… achever les gravures, en risquant une erreur qui ferait échouer l'étape suivante.
C	… chauffer le fer à blanc et te laisser marquer (perds 3d6 HP), les runes s'effaçant du fer pour se graver dans ton âme.
C	… laisser la blessure guérir et cicatriser, sans l'aide d'aucune magie.
H3	Toucher brûlant
P	Quand tu <b><i>appelles le feu de ton âme et le</i></b> <b><i>fais couler dans tes mains</i></b>, lance +CON : <b>sur un 7+</b>, tes mains s'embrasent comme du fer chauffé à blanc (voir ci-dessous) ; <b>mais</b> <b>sur un 10+</b>, choisis d'abord 1 ; <b>et sur un 7-9</b>, choisis d'abord 2 :
B	Cela prend plusieurs minutes de concentration intense
B	Cela consume ta force vitale ; perds 2d4 HP
B	La douleur est terrible ; marque un handicap
P	<b>Sur un 6-</b>, quoi que le MJ dise d'autre, tu ne peux pas recommencer avant de te Rétablir.
P	Tant que tes <b><i>mains sont embrasées</i></b>, ton toucher inflige 1d10 dégâts (<i>main</i>, <i>sanglant</i>, <i>dangereux</i>, 1 perforant), enflamme le bois, fait bouillir l'eau, chauffe le métal. Tes mains ne sont pas affectées par la chaleur, mais ton équipement et le reste de ton corps ne bénéficient d'aucune protection semblable.
P	Fais attention.
P	Tes mains s'embrasent tant que tu maintiens ta concentration, jusqu'à une minute, voire deux peut-être.
