# minor-shattering-words-of-aalz-childric · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 90466b869d4dd63fef8b8ba7510e93f81dd2542b6fdf5001cf81b04be76c218d
# title: Paroles brisantes d'Aalz Childric
# nav_label: Paroles brisantes d'Aalz Childric
# description: Une arcane mineure : des runes gravées dans la pierre qui la font se briser sur un mot-clé.
PAGE	513
H3	Des piliers gravés de runes
P	<i>magique</i>
P	Loin sous un fort en ruine bâti par des géants se trouve une chambre voûtée, autrefois un entrepôt mais pillé depuis fort longtemps. Un squelette de géant gît juste à l'entrée, face contre terre, le crâne et les côtes défoncés.
P	Quatre piliers soutiennent le plafond, gravés d'une série d'immenses runes qui vibrent de puissance. Tu peux en percer les secrets, mais…
C	… tu dois passer quelques jours à étudier les runes et à mémoriser leur séquence.
C	… tu dois méditer quelques semaines sur la magie qui les imprègne.
C	… tu risques de déclencher le sort contenu dans les runes et de faire s'effondrer toute la structure.
H3	Paroles brisantes d'Aalz Childric
P	Quand tu <b><i>graves les paroles brisantes d'Aalz</i></b> <b><i>Childric dans la pierre ou le roc</i></b>, désigne un mot-clé ou une phrase-clé.
P	Quand toi ou un autre <b><i>prononce le mot-clé ou la</i></b> <b><i>phrase-clé en voulant déclencher le sort</i></b>, tu lances
P	+CON : <b>sur un 10+</b>, la pierre gravée de runes se brise et est immédiatement réduite en gravats ; <b>sur un 7-9</b>, la pierre se fissure et se déforme, se brisant lentement en plusieurs morceaux.
