# minor-shell-game-of-souls · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 28ab5d54aed35c5cfa8bfa1dbac3edc6425fd9510c73e3cc9c451679bb5792e4
# title: Bonneteau des âmes
# nav_label: Bonneteau des âmes
# description: Arcane mineur : des runes gravées dans une grotte qui lient les âmes mourantes à ta propre chair.
PAGE	510
H3	Gravures dans une grotte
P	Au fond d'une doline se trouve une grotte calcaire.
P	Un squelette moisi s'affaisse contre un mur, montrant des signes d'avoir été pendu. Pourtant, gravées dans les parois de la grotte, il y a des runes, recouvertes de dépôts minéraux.
P	Tu peux étudier les runes et apprendre les secrets qu'elles contiennent, mais...
C	… tu dois restaurer soigneusement les runes sur plusieurs semaines de travail.
C	… tu risques de les abîmer en travaillant.
C	… tu dois déchiffrer les anciennes écritures, semblables aux runes des Seigneurs de Pierre.
C	… il te faudra ensuite quelques jours d'étude.
H3	Bonneteau des âmes
P	Âmes (max CON) : ◇◇◇
P	Quand tu <b><i>touches un être intelligent mourant, en prononçant son nom et des mots de liaison</i></b>, lance +INT :
P	<b>sur un 10+</b>, tu lies son âme à ta chair ; <b>sur un</b> <b>7-9</b>, tu lies son âme mais affaiblis la tienne — réduis ton maximum de HP de 1d4+1.
P	Ta chair peut lier un nombre d'âmes égal à ta CON. Elles se manifestent dans tes rêves et luttent pour prendre le contrôle quand ton esprit ou ton corps sont faibles. Écris leurs noms ici :
P	Quand tu <b><i>fais un 6- à Aux Portes de la Mort</i></b>, tu peux libérer une âme liée pour qu'elle franchisse la Dernière Porte à ta place. Si tu le fais, tu survis comme si tu avais fait un 7-9. Ton corps, cependant, porte encore les marques de ce qui aurait dû te tuer.
