# minor-song-of-the-dool-trees · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 708816237c5629bdb107d82f29d5284d06b3fd28c1fda8c1095e2a8c707e2a80
# title: Chant des arbres Dool
# nav_label: Chant des arbres Dool
# description: Le Chant des arbres Dool (Song of the Dool Trees), arcane mineur de Stonetop : un parchemin chiffré et une flûte d'os qui, bien jouée, invoque et lie un esprit dool à ton service.
PAGE	514
H3	Un parchemin et une flûte d'os
P	◇, <i>magique</i>
P	Un parchemin, écrit d'une main resserrée en une écriture d'apparence absurde, accompagné d'une série de diagrammes en graphes. Il est accompagné d'une flûte d'os (d'un bras humain ?). Les notes se révèlent être un chiffre ; le graphe est peut-être la notation d'un chant.
P	Tu peux percer les secrets du parchemin et de la flûte, mais…
C	… tu dois d'abord déchiffrer les notes, ce qui prendra quelques semaines d'efforts.
C	… la première fois que tu utilises la flûte, tu risques de te tromper de mélodie et d'irriter l'esprit dool.
H3	Chant des arbres Dool
P	Quand tu <b><i>te tiens parmi les arbres dool et joues</i></b> <b><i>l'air adéquat sur une flûte taillée dans l'os d'un meurtrier</i></b>, tu invoques un esprit dool et le lies à ton service.
P	Traite-le comme un suivant. Un seul esprit dool à la fois peut être à ton service.
ICON	icons/spirit.svg
H3	Esprit dool
P	<i>Esprit, terrifiant, furtif, retors</i>
P	<b>HP</b> 13 ; <b>Armure</b> 1 (amorphe)
P	<b>Dégâts</b> se repaît de la peur d6 (<i>main</i>, <i>rapproché</i>, ignore l'armure, désavantage)
P	<b>Instinct</b> pousser les choses trop loin
P	<b>Qualités spéciales</b> impuissant en pleine lumière
P	• Perçoit les doutes et les inquiétudes d'une victime
P	• Façonne le son et l'ombre pour troubler et effrayer
P	• Se manifeste sous la forme des peurs de sa victime (blessé uniquement par qui maîtrise sa propre peur)
P	<b>Prix</b> des peurs nouvelles et exquises (Loyauté ◇◇◇ )
P	<b>HP</b>
