# minor-staff-of-magnetism · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 8cc5cdae8c1c13fa439033cfa8f8683c699c1b57c54e223b26cca235dfe23f8f
# title: Bâton de magnétisme
# nav_label: Bâton de magnétisme
# description: Arcane mineur : un bâton cerclé de cuivre qui déplace le métal à distance.
PAGE	531
H3	Un bâton cerclé de cuivre
P	◇, <i>magique</i>
P	Un court bâton, d'environ 1,2 mètre de haut, s'effilant vers la pointe et fait de chêne noirci avec un étrange éclat métallique. Une douzaine d'anneaux l'ornent, faits de cuivre corrodé, recouverts de vert-de-gris et s'effritant par endroits. Les anneaux sont gravés de runes de pouvoir, certaines usées ou obscurcies.
P	Le bâton fourmille encore de pouvoir. Pour percer ses mystères, tu dois…
C	… trouver la forme des runes manquantes et endommagées.
C	… remplacer les anneaux par de nouveaux, en éthérium gravé de runes.
C	… tenir bon tandis que la foudre traverse le bâton, t'accordant à sa magie (tu risques de graves brûlures ou du moins de sursauter et de le lâcher).
C	… passer quelques jours à t'entraîner avec le bâton chargé.
H3	Bâton de magnétisme
P	Charge : ◇◇◇
P	Quand <b><i>la foudre traverse le bâton,</i></b> il retient
P	3 Charge (max 3).
P	Quand <b><i>le bâton retient de la Charge et que tu concentres ta</i></b> <b><i>volonté et tes sens à travers lui</i></b>, tu peux sentir le fer, l'acier, le cobalt et le nickel à portée <i>proche</i> et déplacer de tels objets lentement et maladroitement. Tu ne peux manipuler que des objets que tu pourrais soulever d'une main.
P	Quand tu <b><i>puises dans le pouvoir stocké dans le</i></b> <b><i>bâton</i></b>, choisis 1 :
B	Étends ses effets jusqu'à portée <i>loin</i>
B	Déplace des objets vite et soudainement, assez vite pour attaquer ou défendre (<i>dangereux</i>)
B	Manipule un objet d'une masse considérable, autant que ce que tu peux soulever de terre
P	Chaque fois que tu puises dans le pouvoir du bâton, lance
P	1d6. Si tu obtiens plus que la Charge actuelle
P	du bâton, il perd 1 Charge.
P	48
