# minor-sublime-words · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 06869124b258cf64d57ff32c5a09fec1b73522f079f6687c29649e759af9ee8f
# title: Paroles sublimes
# nav_label: Paroles sublimes
# description: Paroles sublimes (Sublime Words), arcane mineur de Stonetop : un art ou un artisanat enseigné par une Ustrina, dont le chant abîme la voix mais crée une beauté véritable.
PAGE	533
H3	Le récit d'un prospecteur
P	« Une Ustrina m'a offert un jour un miroir, une pièce sans défaut au cadre d'or. Il me montrait <i>moi</i>, mais… un moi meilleur, tu vois ? Ils disaient que celle qui l'avait fait, l'une des Seigneurs de la Forge, je crois ? Disaient qu'elle y avait « versé ses Paroles sublimes », quoi que cela veuille dire. Je n'ai pas pu payer son prix. Mais je n'oublierai jamais ce miroir, ni ce qu'il m'a fait ressentir. »
P	Ce vieil homme a été retrouvé mort, mais tu soupçonnes qu'il y a un fond de vérité dans son récit. Pour en percer les mystères, tu dois...
C	… maîtriser un art ou un artisanat (poterie, tissage, forge, etc.).
C	… trouver une Ustrina capable et disposée à t'enseigner les Paroles sublimes.
C	… passer une saison à étudier auprès de l'Ustrina, à pratiquer les Paroles.
C	… risquer de ne jamais maîtriser les Paroles, ou d'abîmer durablement ta voix.
H3	Paroles sublimes
P	◇ voix éraillée, ◇ quintes de toux, ◇ muet
P	Quand tu <b><i>dépenses des fournitures (Valeur 2) et une saison</i></b>
P	<b><i>entière à ouvrer, chantant les Paroles sublimes</i></b>
P	<b><i>tout du long,</i></b> lance +SAG. Quoi qu'il arrive, tu as abîmé ta voix (coche un statut ci-dessus) mais créé une chose d'une beauté véritable (Valeur 4). <b>Sur 10+</b>, choisis-en 1, ou 2 en abîmant davantage ta voix ; <b>sur</b> <b>7-9</b>, choisis-en 1 et abîme davantage ta voix.
B	Sa beauté perdurera à travers les âges
B	Elle apaise la douleur et allège le chagrin
B	Elle inspire les autres à devenir meilleurs
P	<b>Sur 6-</b>, elle attise la cupidité chez ceux qui la voient et la peur chez ceux qui la possèdent, pire encore si ces travers étaient déjà présents. Attends-toi à des effusions de sang.
P	Quand tu <b><i>reposes ta voix pendant une saison</i></b> (sans crier, en parlant peu, sans utiliser les Paroles sublimes), efface un statut ci-dessus.
P	52
