# minor-the-angry-little-god · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 88d53588c10dc1a839f293567109e92fa9d5c061f1a36b7b986df544b1561987
# title: Le Petit Dieu en colère
# nav_label: Le Petit Dieu en colère
# description: Le Petit Dieu en colère (The Angry Little God), arcane mineur : une idole de pierre abritant un petit Fae narcissique, Thistlewisk le Tout-Puissant.
PAGE	538
H3	Une idole de pierre
P	◇, <i>fruste, magique</i>
P	Trouvée au fond d'une grotte ou d'un antre, dissimulée par des racines et des gravats, entourée d'offrandes desséchées et pourrissantes. Une chose trapue et grossière au visage d'opossum ricanant, à la queue épineuse, avec des fleurs en guise d'oreilles.
P	L'idole est, en fait, un petit Fae narcissique, coincé (caché ? obstinément retranché ?) sous la forme d'une idole de pierre. Pour percer ses « mystères » et bénéficier de son patronage, tu dois...
C	… restaurer le sanctuaire, tout en subissant les abus de son petit dieu en colère.
C	… extraire l'idole de la pierre et des gravats dans lesquels elle est incrustée, au risque de l'endommager/l'insulter.
C	… tromper l'idole pour qu'elle accepte une offrande qui la met à jamais en ta dette. Un Surplus de nourriture et/ou de whisky devrait suffire.
H3	Le Petit Dieu en colère
P	Quand tu <b><i>places l'idole dans un endroit bien en vue et</i></b> <b><i>la supplies de prêter attention à son humble serviteur,</i></b> elle se réveille (mais reste inerte). Traite-la comme une suivante, bien qu'elle ne se considère guère comme telle.
ICON	icons/fae.svg
H3	Thistlewisk le Tout-Puissant
P	<i>Fae, minuscule, magique, sournois, arrogant</i>
P	<b>HP</b> 15 ; <b>Armure</b> 6 (pierre, résilience), 2 contre le fer <b>Qualités spéciales</b> inerte ; voix désincarnée <b>Instinct</b> accabler ses fidèles d'abus
P	• Faire des exigences déraisonnables
P	• Consumer l'essence des denrées alimentaires
P	• Sentir les pensées/souvenirs oisifs de quelqu'un
P	• Tisser de puissantes illusions et hallucinations (<i>proche</i>, <i>zone</i>)
P	• S'ennuyer/se vexer et aller dormir
P	<b>Prix</b> la déférence et des offrandes de nourriture toujours plus grandes (Loyauté : ◇◇◇ )
P	<b>HP</b>
P	Commence à 15
