# minor-the-eye-opened · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 0e13cd32e023a62ae38aa24b277b9f070ae4f81362a07bbb0531811102862835
# title: L'Œil, ouvert
# nav_label: L'Œil, ouvert
# description: Arcane mineur : une clé qui ouvre en toi un troisième œil, révélant esprits, auras et vérités cachées.
PAGE	519
H3	Une… clé ?
P	<i>magique</i>, <i>terrifiant</i>
P	Cachée dans quelque trésor des Bâtisseurs se trouve une chose blanche et luisante, comme une clé je suppose, mais pas une clé précise, plutôt comme l'<i>idée</i> même de la clé. Ça fait mal de la regarder en face ; ça te rend conscient de ta propre chair mortelle.
P	Ce n'est pas tant toi qui perces les mystères de cette clé, que c'est elle qui te déverrouille toi. Mais seulement si tu…
C	… maîtrises ta peur et te forces à la toucher.
C	… tiens bon tandis qu'elle tourmente ton esprit et ton âme, refusant de lâcher prise.
C	… passes quelques semaines à endurer de terribles migraines et des éclairs de couleur, apprenant à calmer et à maîtriser le nouvel œil de ton esprit.
H3	L'Œil, ouvert
P	Quand tu <b><i>passes quelques minutes à méditer tranquillement et à ouvrir l'œil de ton esprit</i></b>, il apparaît sur ton front comme un point de lumière brillant. La matière et l'énergie ordinaires te semblent ternes et incolores, mais tu vois les esprits et les auras avec un détail lumineux.
P	Tant que l'<b><i>œil de ton esprit est ouvert</i></b>, tu peux demander au MJ « Quelles entités pensantes sont présentes ici ? »
P	et obtenir une réponse honnête.
P	Quand tu <b><i>Cherches à Comprendre tandis que l'œil de ton esprit</i></b> <b><i>est ouvert</i></b>, les questions que tu peux poser deviennent celles-ci à la place :
B	Ment-il ou essaie-t-il de tromper ?
B	Que ressent-il vraiment en ce moment ?
B	Qu'a-t-il l'intention de faire ?
B	De quoi ici a-t-il le plus peur ?
B	Quelque chose contrôle-t-il son esprit, ses émotions ou ses actions, et si oui, quoi ?
P	24
