# minor-the-sylvan-web · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 05a21a27404d023df7eb72c2411d0eabb7e03d4c727e119c5abd6a2e0f4aeeb7
# title: La Toile sylvestre
# nav_label: La Toile sylvestre
# description: La Toile sylvestre (The Sylvan Web), arcane mineur : une plaque de mousse arc-en-ciel du Grand Bois qui laisse dériver l'esprit à travers la forêt.
PAGE	521
H3	Une plaque de mousse arc-en-ciel
P	<i>magique</i>
P	Dans le Grand Bois, on peut trouver un bosquet composé de nombreuses essences d'arbres différentes, la lumière tamisée sous leur canopée et le sol noueux de racines entrelacées. En son centre : une plaque de mousse épaisse, aux mille teintes.
P	Pour percer les mystères de ce lieu, tu dois…
C	… t'allonger dans la mousse et laisser ses vrilles fusionner avec ta peau.
C	… laisser ta conscience dériver dans la forêt elle-même, au risque de t'y perdre ou d'attirer l'ire d'esprits hostiles.
C	… passer des semaines à visiter la mousse, laissant ton esprit dériver, apprenant à percevoir le monde à travers les sens de la forêt.
H3	La Toile sylvestre
P	Quand tu <b><i>t'allonges dans la mousse arc-en-ciel et projettes</i></b> <b><i>ton esprit dans le Grand Bois</i></b>, dis ce que tu recherches et lance +SAG : <b>sur un 10+</b>, choisis 3 ; <b>sur</b> <b>un 7-9</b>, choisis 1.
B	Tu apprends l'emplacement de ta proie
B	Tu obtiens un aperçu des activités récentes de ta proie, ou de l'activité qui l'entoure
B	Tu découvres quelque chose d'inattendu sur la forêt, ou sur ce qu'on peut y trouver (demande au MJ ce que tu apprends)
B	Tu ne passes qu'une heure environ à la dérive (sinon, tu y passes toute la journée)
P	Quoi que tu apprennes, c'est limité et filtré par les sens de la forêt.
P	28
