# minor-the-tomb-bogs-mark · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 0a5ce5a9e855707c25f6e8619c195ec33d68d866df7b67265204986bbdb87ba2
# title: La Marque du Marais-Tombeau
# nav_label: La Marque du Marais-Tombeau
# description: Un esprit du Marais de Ferrier peut marquer les coupables d'un geas mortel, au risque de coûter ta propre vie.
PAGE	511
H3	Un sinistre tertre de tourbe
P	Non loin de Bordemarais (Marshedge), à quelque distance dans le Marais de Ferrier (Ferrier's Fen), se trouve un tertre de tourbe où aucun oiseau ne niche et où aucune fleur ne fleurit. Depuis la fondation de la ville, les habitants de Bordemarais y enterrent vivants certains criminels.
P	Au fil des années, cette terre a fait naître un esprit qui a faim des derniers souffles des condamnés (<i>Livre II</i>, page 85). Il est jeune et avide, et peut être mis au service contre des criminels, mais seulement si tu...
C	… trouves un moyen de communiquer avec lui.
C	… le convaincs que tu n'utiliseras sa marque que pour condamner les coupables.
H3	La Marque du Marais-Tombeau
P	Quand tu <b><i>utilises la boue du marais-tombeau pour marquer</i></b> <b><i>quelqu'un du signe d'Aratis et le déclares</i></b> <b><i>coupable d'un crime</i></b>, tu peux lui imposer un geas. Formule-le comme suit :
B	Tu ne dois plus jamais ____.
B	Désormais, tu dois toujours chercher à ____ dès que l'occasion se présente.
P	Si elle <b><i>ne respecte pas le geas</i></b>, sa vie est perdue et l'esprit du marais-tombeau la traquera et l'étouffera.
P	Si elle <b><i>prouve son innocence à</i></b> <b><i>l'esprit du marais-tombeau</i></b>, c'est ta vie qui est perdue à la place.
P	8
