# minor-thunderbolt-bow · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 5146230ac1ac533ed051ae2a06ef4b5a47f8067e52b187ae4c80ad6ad7627690
# title: Arc de foudre
# nav_label: Arc de foudre
# description: Arcane mineur : un arc d'éthérium qui transforme un éclair chargé en flèche foudroyante.
PAGE	532
H3	Un arc sans corde
P	◇, <i>magique</i>
P	Un petit arc plat fait d'un métal bleu pâle, rigide et gracieusement courbé bien qu'il soit débandé.
P	Il n'y a même pas d'encoches où tu <i>pourrais</i> fixer une corde.
P	Il semble de peu d'utilité, mais cet arc cache plus qu'il n'y paraît. Pour percer ses mystères, tu dois…
C	… acquérir un gant d'éthérium, correctement accordé à l'arc.
C	… apprendre le mot secret qui active l'arc.
C	… charger l'arc de foudre, au risque de l'endommager ou de te blesser.
C	… passer quelques semaines à t'entraîner, au risque de causer toutes sortes de dégâts collatéraux.
H3	Arc de foudre
P	◇, <i>loin</i>, <i>puissant</i>, <i>magique</i>, <i>bruyant</i>, <i>rechargement</i>, ignore l'armure, ◇ encore beaucoup, munitions basses, à court ◇◇
P	Quand tu <b><i>prononces le mot secret</i></b>, l'arc s'active et bourdonne d'un air menaçant. Quand tu <b><i>enfiles alors le gant d'éthérium et empoignes l'endroit où la</i></b> <b><i>corde devrait se trouver</i></b>, une ligne d'éclairs crépitants apparaît entre les cornes.
P	Quand tu <b><i>tires la foudre en arrière</i></b>, un éclair se forme là où devrait se trouver une flèche. Il se manifeste le temps d'une profonde inspiration, après quoi tu peux Décocher.
P	Tu dois charger l'arc de foudre pour reconstituer ses munitions.
P	Quand tu <b><i>tires la foudre en arrière pendant au moins</i></b> <b><i>dix profondes inspirations</i></b>, épuise tes munitions. Ton prochain tir inflige +1d4 dégâts (+<i>zone</i>, +<i>dangereux</i>), mais si tu fais un double un pour Décocher, l'arc explose (3d6 dégâts, <i>allonge</i>, <i>zone</i>, <i>puissant</i>, <i>bruyant</i>).
