# minor-unliving-chimera · fr · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: fr
# source_sha256: 0ee8ebf89a532ca42c4593e9ba1456cd185ac3dbb0223592faddbf06bdb681eb
# title: Chimère non-vivante
# nav_label: Chimère non-vivante
# description: Arcane mineur : un chaudron rouillé qui, nourri d'os de bêtes et de sang frais, fait naître une chimère non-vivante.
PAGE	524
H3	Un chaudron rouillé
P	<i>immobile, magique</i>
P	Assez grand pour qu'un homme adulte puisse s'y glisser, piqué et éraflé, gravé de motifs en spirale semblables à des runes. Le tout est encroûté de rouille. Du moins, tu espères que c'est de la rouille.
P	La chose dégage une impression sinistre, et tu peux sentir sa puissance. Pour percer les mystères du chaudron, tu dois…
C	… récurer minutieusement la rouille du chaudron.
C	… passer sept nuits à dormir dans le chaudron, faisant d'immondes rêves, cochant un handicap à chaque fois.
C	… faire bouillir les os d'une bête que tu as sincèrement aimée ou chérie, en y mêlant un peu de ton sang frais.
C	… soumettre à ton contrôle la misérable créature qui en émerge.
H3	Chimère non-vivante
P	Quand tu <b><i>fais bouillir des os de bêtes dans le chaudron</i></b> <b><i>et y mélanges ton propre sang frais,</i></b> coche jusqu'à 3 handicaps. Une chimère non-vivante émerge du chaudron. Traite-la comme une suivante, avec une étiquette pour chaque bête dont tu as utilisé les os (<i>semblable à un ours</i>, <i>semblable à un hibou</i>, etc.).
P	Pour chaque handicap que tu as coché, choisis 1 :
B	Elle est stable (sinon, elle se désagrège en une journée)
B	Elle n'est pas <i>maladroite</i>
B	Remplace son instinct par « fuir la lumière »
ICON	icons/undead.svg
H3	Chimère non-vivante
P	<i>Mort-vivant, automate, terrifiant, maladroit</i>
P	<b>HP</b> 3 ; <b>Armure</b> 4 (0 contre le bronze)
P	<b>Dégâts</b> variables d6 (<i>main</i>, peut-être d'autres)
P	<b>Instinct</b> se confondre et frapper aveuglément
P	• Faire quelque chose que l'une de ses bêtes composantes pourrait faire
P	• Gémir, misérablement et de façon troublante
P	<b>Prix</b> beaucoup de sang frais (Loyauté ◇◇◇ )
