# inserts · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: c08ccb1cbebe1b7f4a3675fd611c2df0e4d8235bca67263d9969cee039af605d
# title: 別紙
# nav_label: 別紙
# description: プレイブックに挟んで使う別紙（Inserts）の種類と、誰がどれを受け取るかの案内。
PAGE	141
P	あなたのPCは少なくとも1枚の別紙を持つ。これは両面刷りの半ページのシートで、折りたたんだプレイブックに挟んでおける。PDFはランプブラック
P	＆ブリムストーン（Lampblack & Brimstone）のウェブサイトにあるプレイキットに収録されているが、参照用に本章にも別紙を収めてある。
P	すべてのPCは<b>所持品</b>シート（142ページ）を受け取る。この別紙の使い方は86ページの<b>装備と所持品</b>を参照。別紙の裏面は、あなたのプレイブックと選択によって変わる。
P	あなたが……
E	<b>動物の相棒ムーブを持つ野伏</b>なら、当然<b>動物の</b><b>相棒</b>の別紙（143ページ）を受け取る。
E	<b>統率者</b>なら、<b>部隊</b>の別紙（144ページ）を受け取る。
E	<b>入信者の生い立ちを持つ祝福されし者</b>なら、<b>ダヌの</b><b>入信者</b>の別紙（145ページ）を受け取る。
E	<b>光を掲げる者</b>なら、<b>祈願</b>の別紙（146ページ）を受け取る。
P	それ以外なら、従者を記録する欄と、プレイヤーの指針、原則、ルールの概要が載った<b>汎用</b>の別紙（147ページ）を受け取る。
P	プレイキットのPDFは、片面に所持品シート、裏面にプレイブック固有のシート（または汎用の従者／指針シート）が印刷されるよう組まれている。本章には各シートを1部ずつだけ収めてある。
H3	プレイブックと別紙
P	死の淵ムーブと誤った判断の結果として得られる別紙も3つある。<b>亡霊</b>（148ページ）、<b>甦りし者</b>（150ページ）、<b>隷属者</b>（152ページ）である。これらの別紙は通常、半分の大きさの紙に両面で印刷する。関係するようになったときにだけ、そのうちの1枚を受け取る。
P	本章で紹介する別紙に加えて、<b>大アルカナム</b>（60ページ）を表す別紙を受け取ることもある。
P	探求者は生い立ちに示された大アルカナムを1つ持ってプレイを始める。また、用心棒のプレイブックを「嵐の印を持つ者」の生い立ちで取ったなら、大アルカナム「嵐の印」を持ってプレイを始める。
P	これらは付録D：大
P	アルカナム（<i>第2巻</i>、540ページ）にある。
