# minor-aalz-galts-sudden-sinkhole · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: dddc9f4550d97dfde91eebf12358fa1c8a3b03733d52254767714604a256eeb2
# title: アールズ・ガルトの急な陥没
# nav_label: アールズ・ガルトの急な陥没
# description: ストーントップの小アルカナム「アールズ・ガルトの急な陥没」（Aalz Galt's Sudden Sinkhole）。地中に空洞を穿つ歌の呪文。
PAGE	509
H3	巨人の寝所 巨人の寝所
P	<i>魔法</i>
P	石の君（the Stone Lords）の遺跡に古い住まいがあり、その住人――かなりの腕を持つ石工の術師――の残留思念が刻まれている。
P	<b><i>寝所に入る</i></b>とき、この弟子が初めての呪文を編み出す幻に圧倒される。あなたはこの呪文を学べるが……
C	……魔法の才が多少なりともなければならない。
C	……何週間も繰り返し触れ、研究する必要がある。
C	……体と健康に長く残る害を負う危険がある。
H3	アールズ・ガルトの急な陥没
P	<b><i>低く轟く音を歌い、大地や石の一点に</i></b><b><i>意志を集中させる</i></b>とき、衰弱に印をつけ、+INTで振る：
P	<b>10+なら</b>、あなたが集中した大地や石はそのまま残るが、その下の土や石が崩れ、溶け、流れ去り、両腕で抱えられるほどの幅で、あなたの背丈ほどの深さの空洞ができる。表面は安定して見えるが、負荷がかかるとひび割れたり崩れたりしやすい。
P	<b>7〜9なら</b>、歌は上と同様に働くが、あなたの体からさらに多くの力を吸い取る。もう1つ衰弱に印をつけ、2d4ダメージ（アーマー無視）を受ける。
P	4
