# minor-baleful-utterance · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 8742d561268dea99e5ba8be2dc82641c2cfd72ffb8fff8d40c4f2a95fbf4f62e
# title: 呪いの言葉
# nav_label: 呪いの言葉
# description: ストーントップの小アルカナム「呪いの言葉」（Baleful Utterance）。口にすれば物を無に帰す恐るべき言葉。
PAGE	530
H3	囁く……言葉？
P	<i>魔法</i><b>、</b><i>動かせない</i><b>、</b><i>恐怖</i>
P	日の光から隠され、ルーンの輪の中で、ある……言葉？……が宙に浮かんでいる。のたくり身をよじらせ、自由を渇望しながら、力を約束する囁きを漏らしている。だがその周りのルーンは、あなたを恐怖で満たす。
P	その秘密を解き明かすには、あなたは……
C	……恐怖を克服し、自らを奮い立たせてそれを掴み、身の内に取り込まなければならない。
C	……それがあなたの体と魂を苛み、あなたを無に帰そうとする間、しっかりと持ちこたえなければならない（2d6ダメージ、<i>凄惨</i>、アーマー無視）。
C	……何週間も孤独に過ごし、今や頭の中に棲むその恐るべき言葉を理解しなければならない。
C	……恐るべき言葉を声に出して話す練習をする間、周囲を穢し、持ち物や近くの何もかもを壊す危険を冒さなければならない。
H3	呪いの言葉
P	<b><i>恐るべき言葉を口にする</i></b>とき、あなたの声が届く物体を1つ指定する――それは砕けるか、ほどけるか、その他の形で無に帰す。
P	それから+CONで振る：<b>10+なら</b>、1つ選ぶ。<b>7〜9なら</b>、1つ選び、GMがもう1つ選ぶ。<b>6-なら</b>、GMの言うことに加えて1つ選ぶ。<b>いずれにせよ</b>、壊した品が<i>破壊不能</i>だったなら、もう1つ選ぶ。
B	喉が焼け、舌に水ぶくれができる。<i>消沈</i>に印をつけ、数日間はかろうじて囁くことしかできない。
B	あなたと、その言葉を聞いた全員の耳から血が流れ出す（1d4ダメージ、アーマー無視、一時的に耳が聞こえなくなる）。
B	GMの選ぶ他の物体1d4個も、砕けるか、ほどけるか、無に帰す。
B	この場所は下なるもの（the Things Below）に穢される。すでに穢されていたなら、さらに悪化する。そうでなければ、ここは今や避けられる場所、不穏と不安の場所となる。
