# minor-call-of-the-hunt · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: ec49800ea810eb7cfe739534bcfa67d520f9b0fbbf0201ffee5977fc3661fa87
# title: 狩りの呼び声
# nav_label: 狩りの呼び声
# description: 狩りそのものの精霊が宿る狼の毛皮、小アルカナム（Call of the Hunt）。
PAGE	523
H3	狼の毛皮
P	<i>魔法</i>、<i>暖かい</i>
P	さぞ堂々たる獣だったのだろう。青白い石を目に嵌めて見事に保存され、フード付きの外套のように羽織るための留め具がついている。だがどれほど擦っても、その牙から赤い染みは決して落ちない。
P	この毛皮には強大な精霊が宿っている。狼の精霊にとどまらず、「狩り」そのものの精霊である。その秘密を解き明かすには、あなたは……
C	……毛皮をまとい、ひとりきりで、月明かりの下で獣を狩らねばならない。
C	……素手か歯でその肝臓を引きずり出し、生のまま食らわねばならない。
H3	狩りの呼び声
P	<b><i>血で顔を汚し、毛皮だけを身にまとって</i></b><b><i>昇る月に遠吠えする</i></b>とき、あなたは狼の相を帯び、群れを傍らに呼び寄せる。
P	獲物の名を挙げてロールする……
E	その匂いを知っていれば+1；
E	獲物がひとりなら+1、そうでなければ-1；そして
E	獲物が狼の群れを恐れないなら-1。
P	<b>7+なら</b>、あなたは獲物を追いつめて2d6+4ダメージ（<i>凄惨</i>）を与え、その後群れは散り、あなたは狼の自分を脱ぎ捨てる。<b>10+なら</b>、さらに1つ選ぶ；
P	<b>7〜9なら</b>、さらに2つ選ぶ。
B	群れが1人以上の無辜の者を食い荒らす
B	あなた自身が2d6+4の<i>凄惨</i>ダメージを受ける
B	レベルアップするまで、あなたの本能は「血に飢えた狼のように振る舞う」になる。
P	<b>6-なら</b>、獲物はあなたから逃れ、それでも上のリストから2つ選ばねばならない。
P	32
