# minor-cold-mind-iron-body · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 2ec884aaa4d10c054e5918043da576e12fc29e02a1fd523c755f1542f1aec28b
# title: 冷たき心、鉄の身
# nav_label: 冷たき心、鉄の身
# description: 霧氷の君の瞑想を伝える数珠、小アルカナム（Cold Mind, Iron Body）。
PAGE	526
H3	ひと連なりの数珠
P	◇<b>、</b><i>魔法</i><b>、</b><i>美しい</i>
P	長さ10フィート近い紐に、青銅の珠が連ねてある。珠のひとつひとつには異なる象形文字と、それぞれ独自の瞑想の姿勢をとる人物が彫られている。
P	珠に指を這わせると、静寂を感じる——だが同時に、容赦ない裁きの重みも感じる。
P	数珠の秘密を解き明かすには、あなたは……
C	……珠に浮き彫りにされた霧氷の君（Rime Lords）の象形文字を解読せねばならない。
C	……数珠に伴う瞑想の詠唱を（知識の宝庫か、それを知る者から）学ばねばならない。
C	……数珠とともに瞑想しながら、裸で断食し、孤独のうちにひと季節を過ごさねばならない。病、事故、災難の危険を冒して。
H3	冷たき心、鉄の身
P	備え ◇◇◇
P	<b><i>数珠とともに孤独、断食、瞑想のうちに休息期間を過ごして鼓舞する</i></b>とき、備えをホールドする（鼓舞するムーブのとおり）。
P	<b><i>備えを1以上ホールドしている</i></b>間、あなたは一晩に1時間の睡眠しか必要とせず、<i>暖かい</i>衣服なしで寒さに耐えられ、旅や野営の際に物資も食料も消費する必要がない。そうした過酷な暮らしを10日ほど続けたら、備えを1失う。
P	また、備えを1消費して次のことができる：
B	ロールの後で、そのロールに+1する（1回のロールにつき最大+1）
B	衰えを1つ回復する、またはマークするのを拒む
B	極限の忍耐を要する偉業を成し遂げる
B	元素のエネルギー源（炎、冷気、雷など）からのダメージを無視する
