# minor-convocation-of-the-soil · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 1fb281a49647262da6164014039ee0750f83c58305b8112678c0a56f4f801849
# title: 土の招集
# nav_label: 土の招集
# description: 土の精霊を目覚めさせる儀式を刻んだ石板、小アルカナム（Convocation of the Soil）。
PAGE	524
H3	沈んだ石板
P	<i>動かせない</i>
P	差し渡し1.5メートルほどの大きく古い石の塊で、泥と藻に覆われている。かろうじて見える造り手のルーンが刻まれている。大地と、精霊と、再生を表すルーンだ。
P	石板は儀式の手順を明かしており、あなたはそれを学ぶことができる。そのためには……
C	……石板を泥の中から掘り出さねばならない。
C	……注意深く清めねばならない。
C	……造り手のルーンを解読せねばならない。
C	……数週間ルーンを研究せねばならない。
C	……呪文を唱える練習をせねばならない。近くの土を損なったり、大地から危険な何かを目覚めさせたりする危険を冒して。
H3	土の招集
P	<b><i>土に自らの血を注ぎ、</i></b><b><i>招集の言葉を唱える</i></b>とき、土の精霊たちが身じろぎして目覚め、土を生命と活力と養分で満たす。
P	<b><i>早春に畑でこの呪文を唱え、</i></b><b><i>恐ろしいほどの量の血を注いだ</i></b>とき、3つの衰えすべてをマークし、HPを1だけ残してすべて失う。
P	集落が余剰を1消費して休耕地に作付けすれば、この秋の収穫は
P	1d4+1の追加の余剰を生む。
P	ただし、あなたは+WISでロールせねばならない。<b>10+なら</b>、何の代償もない。<b>7〜9なら</b>、真夏までに大型で健康な獣（馬、ラバ、ヴィーゼント、オーロックスなど）の命の血で土を潤さねばならない。さもなければ追加の作物は枯れ、追加の余剰は失われる。<b>6-なら</b>、呪文は効果を発揮するが、あなたは土から何か危険な精霊や生長を呼び起こすか、大地に封じられていた何らかの悪を解き放ってしまう。
