# minor-dancing-wind-spirit · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: f09662df8813cc8c620d5c4539c7c29978cbb4f49fd5bb8fb967be31eb57b511
# title: 踊る風の精
# nav_label: 踊る風の精
# description: 風の精アンダラウが宿るひびの入った笛、小アルカナム（Dancing Wind Spirit）。
PAGE	523
H3	ひびの入った笛
P	◇、<i>粗雑</i>、<i>魔法</i>
P	紅杉を彫って作った長く太い笛で、裏側に細いがはっきりと見えるひびが走っている。たやすく風を捉え、甲高い音を奏でる。
P	この笛で数音でも奏でた者なら、何らかの魔法が宿っているとわかる。
P	<b><i>数日をかけて練習し、風に聞こえる場所で</i></b><b><i>笛を奏でた</i></b>とき、
P	+CHAでロールする。<b>10+なら</b>、丸を1つマークする。<b>7〜9なら</b>、丸を1つマークするが、怒ったそよ風の精霊を呼び出してしまう。
P	<b>6-なら</b>、何の進展もないが、怒ったそよ風の精霊を呼び出すことには成功する。
MARK	3
P	<b><i>3つの丸すべてをマークした</i></b>とき、あなたは笛の神秘を解き明かす。
H3	踊る風の精
P	<b><i>風そのものを踊らせる調べを</i></b><b><i>奏でる</i></b>とき、笛に結びつけられたアンダラウ（そよ風の精霊）が姿を現す。これを従者として扱う。最初は
P	忠誠1をホールドしている。<b><i>精霊が忠誠をホールドしていない</i></b><b><i>ときにそれを退去させた</i></b>とき、笛は裂けてばらばらになり、アンダラウは解き放たれる。
ICON	icons/spirit.svg
H3	笛のアンダラウ
P	<i>精霊、微小、隠密、いたずら好き</i>
P	<b>HP</b> 8；<b>アーマー</b> 0
P	<b>ダメージ</b> なし
P	<b>本能</b> 遊び戯れる
P	• ひらめく一陣の風として現れる（塩によってのみ傷つく）
P	• ささやき声の伝言を届ける
P	• 物（塵、木の葉など）をひらひらと飛ばす
P	• 誰かを困らせる、または怯えさせる
P	<b>代価</b> 楽しませること（忠誠 ◇◇◇ ）
P	<b>HP</b>
P	最初は8
