# minor-darkwalker-cloak · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 8ac78e1f14b557df9963a575256b7d19a6ea1144456c83edcbac938390b56a57
# title: 闇歩きの外套
# nav_label: 闇歩きの外套
# description: 着る者を影の雲に変える黒い毛皮の外套、小アルカナム（Darkwalker Cloak）。
PAGE	528
H3	ぼろぼろの毛皮の外套
P	◇<b>、</b><i>暖かい</i><b>、</b><i>魔法</i>
P	何か正体の知れない、黒い毛の獣の皮。剛毛はこわばり、周囲の空気はいつも冷えている。
P	<b><i>外套をまとう</i></b>とき、あなたはどれほど厳しい寒さにも耐え、最も暗い影の中でも見通せる。だが明るい光は目を刺し、焚き火のぬくもりさえほとんど耐えがたい。
P	このぼろぼろの毛皮には、確かにまだ何かがある。その秘密を解き明かすには、あなたは……
C	……七日七晩、脱がずに着続けねばならない。
C	……月のない夜に温血の獣を忍び寄って狩り、その血を毛皮に塗りつけねばならない。
C	……毛皮をまとったまま重傷を負い（あるいは自らに負わせ）、あなた自身の新鮮な血で毛皮を濡らさねばならない。
H3	闇歩きの外套
P	チャージ ◇◇◇◇
P	<b><i>自らの血管を開き、あなた自身の新鮮な血で</i></b><b><i>毛皮を濡らす、</i></b>とき、HPを1d8失い、衰えを1つマークする。外套がチャージを持っていなければ、1d4チャージを得る。その傷跡は真っ白で、決して消えることがない。
P	<b><i>闇歩きの外套をまとっている間に</i></b><b><i>打撃や肉体的な傷を受けた</i></b>とき、外套はチャージを1失い、あなたは影の雲に変わる。結局あなたはダメージを受けず、数秒間ひらひらと飛び回ってから元の姿に戻る。この影の姿の間にあなたが触れたものはすべて霜に覆われる。毛皮にチャージがなければ、この効果は起こらない。
P	<b><i>直射日光か聖なる光が</i></b><b><i>闇歩きの外套に触れた、</i></b>とき、または<b><i>あなた以外の誰かがそれをまとった</i></b>とき、外套はすべてのチャージを失う。
