# minor-flaming-sword · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 61007e396dda1a172bb1cb4589484548a027f8d49c7d40d86f0751366e7df02a
# title: 炎の剣
# nav_label: 炎の剣
# description: 火の精霊が宿る錆びた鋼の剣、小アルカナム（Flaming Sword）。
PAGE	534
H3	錆びた鋼の刃
P	◇、<i>近接</i>、<i>粗雑</i>
P	かつては実に見事な刃だったことは明らかだ。鋼には、少なくとも錆に侵されていない部分に、ルーンのような渦巻き模様が浮かんでいる。柄は黒ずみ、とうの昔に焼け落ちた革巻きの名残がある。金属は触れると熱く、夏の日差しの下に何時間も放置されていたかのようだ。
P	この武器の神秘を解き明かすには、あなたは……
C	……刃を修復せねばならない。それには鍛冶場と、数週間の作業と、並々ならぬ技量が要る。
C	……鋼の中の火の精霊（<b>本能</b> 栄光を求める）と交感し、あなたがこの刃を振るうにふさわしいと納得させねばならない。
C	……炉の炎と熱に耐えうる鞘を手に入れねばならない。
H3	炎の剣
P	◇、<i>近接</i>、<i>美しい</i>、ダメージ+1、貫通1
P	業火：◇ なし、◇ 1d4、◇ 1d6、◇ 1d8、◇ 1d10
P	<b><i>内なる火の精霊に呼びかける、</i></b>とき、刃は炎を噴き上げ（+<i>魔法</i>、+<i>危険</i>）、光を放つ（<i>間合い</i>、<i>範囲</i>）。柄は熱くなる。厚手の手袋をはめること！
P	<b><i>炎の剣で斬り結ぶ</i></b>とき、ムーブを解決してダメージを与えた後、業火のダイスを1段階上げる。
P	<b><i>剣を振るいながらムーブのために</i></b><b><i>ロールする</i></b>とき、業火のダイスに等しいダメージを受ける（アーマー無視）。
P	<b><i>剣でダメージを与える</i></b>とき、業火のダイスを加える。
P	<b><i>剣を鞘に収めた</i></b>とき、炎は消え、業火のダイスがなしになるまで再び点すことはできない。
P	1時間ごとに業火のダイスを1段階下げる。
