# minor-flying-cloak · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 3f5f1fb30efb279908bb3b21b89d5f607a270fba210be7356d732f1302884677
# title: 飛行の外套
# nav_label: 飛行の外套
# description: 嵐の精霊が縛られた刺繍の外套、小アルカナム（Flying Cloak）。
PAGE	522
H3	豪華な刺繍の外套
P	◇、<i>魔法</i>、<i>暖かい</i>
P	この上なく上質な羊毛で、淡い青灰色に染められ、様式化された雲が刺繍されている。縁にはエーテリウムの糸で縫い取られた青白いルーンが並ぶ。湿り気を帯び、雨とオゾンの匂いがし、吹いてもいない風にはためいている。
P	<b><i>外套をまとう</i></b>とき、あなたは中に縛られた存在に気づく。低く唸り、苛立っている。外套の神秘を解き明かすには、あなたは……
C	……縛られた精霊の名を知らねばならない。
C	……古の造り手の文字で刺繍された命令の言葉を解読せねばならない。
C	……精霊をあなたの意志に従わせねばならない。その（破壊的な）脱走の危険を冒して。
H3	飛行の外套
P	<b><i>外套をまとって命令の</i></b><b><i>言葉を唱える</i></b>とき、外套の中の嵐の精霊が息を吹き返し、従者としてあなたに従う。精霊は決して着地したがらない。着地させるには忠誠を消費するか、説得せねばならない。
ICON	icons/spirit.svg
H3	外套の精霊
P	<i>精霊、魔法、高慢、無言</i>
P	<b>HP</b> 13；<b>アーマー</b> 1（不定形）
P	<b>ダメージ</b> 打ちつける風、雨、飛散物 d6
P	（<i>近距離、範囲</i>）
P	<b>本能</b> あなたの命令を「聞かなかったこと」にする
P	• 渦巻く風のクッションに主を乗せて空へ運ぶ
P	• 飛びながら嵐を呼び起こす
P	• 周囲に大混乱をもたらす
P	• 荒れ狂う嵐から稲妻を放つ、d10+3（<i>遠距離</i>、<i>強打</i>、<i>装填</i>）
P	<b>代価</b> 何時間も飛び回ること（忠誠 ◇◇◇ ）
P	<b>HP</b>
P	最初は13
