# minor-ice-weaving · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 694cfeb77f5ccbbcfcdbed536d559696a7e4b121898a35789b2be85f19370169
# title: 氷織り
# nav_label: 氷織り
# description: 黒い氷を操る霧氷の君の技を記した大型の写本、小アルカナム（Ice Weaving）。
PAGE	515
H3	特大の写本
P	<i>動かせない</i>、<i>壊れやすい</i>
P	約60センチ×1メートル、閉じると厚さ15センチを少し超える本。表紙は銀色がかった杉板でできている。紙葉は上質な羊皮紙で、何か巨大な獣の皮を張って作られている。
P	ページは大きく精確な書で埋め尽くされ、瞑想の姿勢や、熱、水、氷にまつわる奇妙な幾何学模様を示す図が数多く描かれている。
P	写本の神秘を解き明かすには、あなたは……
C	……霧氷の君（Rime Lords）のアルファベットの一形式で書かれた文字を解読せねばならない。
C	……数か月をかけて本文を研究し、そこに記された技を練習せねばならない。
C	……それを習得する過程で、健康を永久に損なう危険を冒す。
H3	氷織り
P	<b><i>黒い氷が形作られるよう念じる</i></b>とき、HPを1失う。さらに、
P	以下のうち望むもの1つにつきHPを+1失う：
B	小さな壁を作ったり人ひとりを閉じ込めたりできるほどの量になる（そうでなければ、最大でも◇◇）
B	石のように硬い
B	精霊に対しても実体があり、精霊を阻み／傷つけ／妨げることができる その後、+CONでロールする。<b>10+なら</b>、2つ選ぶ。<b>7〜9なら</b>、1つ選ぶか、2つ選んでさらにHPを2失う。
B	素早く、激しくさえ形作られる（そうでなければ、数分、数時間さえかかる）
B	<i>近距離</i>までの範囲に形作られる（そうでなければ、<i>至近</i>の範囲にしか形作られない）
B	その形は想像しうる限り精巧である（そうでなければ、ただの粗雑な塊である）
P	氷は壊されるか、強い熱で溶かされるか、あなたが溶けるに任せるまで残り続ける。氷が残っている間、消費したHPを回復することはできない。
