# minor-plaster-of-joining · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 4f8de558a71a734a0da6169af506d41a006fb6e0d4c76361c697498c782b4f87
# title: 接合の漆喰
# nav_label: 接合の漆喰
# description: 石や水晶を継ぎ目なく接合する漆喰を生む陶器の壺、小アルカナム（Plaster of Joining）。
PAGE	526
H3	上質な陶器の壺
P	◇<b>、</b><i>美しい</i><b>、</b><i>壊れやすい</i><b>、</b><i>魔法</i>
P	小さな鍋ほどの大きさの、上質な陶器の壺。
P	その釉薬は模様と光沢が見事に混ざり合っている。蓋はぴったりと合うが、扱いにくく、一度閉めると開けるのに骨が折れる。
P	あなたの手よりずっと大きな手のために作られたような気がする。
P	壺の秘密を解き明かすには、あなたは……
C	……中に棲む地下の精霊（<b>本能</b> 秘密を貯め込む）と交感せねばならない。
C	……その魔法を働かせるのに必要な秘密の製法と歌の両方を教えるよう、精霊を説き伏せねばならない。
C	……製法に必要な試薬（価値1）を手に入れねばならない。
C	……一昼夜、休まず秘密の歌を歌い通さねばならない。
H3	接合の漆喰
P	使用 ◇◇◇
P	<b><i>壺に水とひとつまみの血と特別な試薬（価値1）を注ぎ、まる一昼夜その上で</i></b><b><i>歌った</i></b>とき、壺は漆喰の使用を1得る（最大使用3）。
P	<b><i>漆喰を使って2つ以上の石、岩、水晶の</i></b><b><i>かけらを接合し</i></b>、数時間漆喰を固まらせると、かけらはひとつに融合する。異なる素材は自然なグラデーションの継ぎ目を見せる。
P	同じような素材は継ぎ目なく融合する。
P	漆喰1使用で、幅と高さ数センチまでの範囲を覆える。複数の使用で、より大きな石のかけらを接合できる。壺が封をされている限り、使わなかった漆喰はいつまでももつ。
