# minor-sanctifying-mark · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: be2f4732f46299b0fcc0eac23b36eddd1b1727c923c31ddded33c7a14d5a95d6
# title: 聖別の印
# nav_label: 聖別の印
# description: 闇と混沌と死の存在を退ける印章を刻んだ崩れかけのアーチ、小アルカナム（Sanctifying Mark）。
PAGE	520
H3	崩れかけたアーチ
P	<i>魔法</i>
P	フェリアーの沼（Ferrier's Fen）の珍しく乾いた場所に、穢れに取り囲まれながら、古代のアーチが——ありそうにないことに——今も立っている。地衣類と苔が厚く健やかに茂っているが、要石だけはむき出しのままで、目に涙を滲ませ、悪を追い払う印章が彫られている。
P	聖別の印の秘密を学ぶことができる。だがそのためには、あなたは……
C	……新鮮で清らかな水で身を清めねばならない。
C	……心を鎮めて印章を見つめ、+WISでロールせねばならない。<b>10+なら</b>、印章がはっきりと見える。<b>7〜9なら</b>、さらに数日瞑想した後に印章がはっきりと見える。
P	<b>6-なら</b>、印章はあなたに学べる域を超えている。
C	……数日かけて印章を覚え、練習せねばならない。
H3	聖別の印
P	<b><i>聖別の印章で</i></b><b><i>物に印をつけた</i></b>とき、それは闇、混沌、死の存在を退ける。印をつけるたびに、あなたの一部（目、髪、肌、舌など）が色を失い、やがて衝撃的なほどの白になる。
P	<b><i>闇、混沌、死の存在が初めて</i></b><b><i>あなたの印の力を試した</i></b>とき、+INTでロールする。<b>10+なら</b>、あなたの印が侵されない限り、そうした生き物はすべて寄せつけない。<b>7〜9なら</b>、そうした生き物は逃げたい衝動に駆られ、ひとまずは押しとどめられるが、強大な存在は無理やりそれを無視できる。
