# minor-shell-game-of-souls · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 28ab5d54aed35c5cfa8bfa1dbac3edc6425fd9510c73e3cc9c451679bb5792e4
# title: 魂の貝殻遊び
# nav_label: 魂の貝殻遊び
# description: 死にゆく者の魂を自らの肉に縛る洞窟のルーン、小アルカナム（Shell Game of Souls）。
PAGE	510
H3	洞窟の彫刻
P	陥没穴の底に、石灰岩の洞窟がある。
P	朽ちかけた骸骨が片方の壁にもたれかかっており、首を吊られた跡が見てとれる。そして洞窟の壁には、鉱物の沈着に厚く覆われたルーンが刻まれている。
P	ルーンを研究し、そこに込められた秘密を学ぶことができる。だが……
C	……数週間の作業で、ルーンを注意深く修復せねばならない。
C	……作業の間にそれを台無しにする危険を冒す。
C	……石の君（Stone Lord）のルーンに似た古い文字を解読せねばならない。
C	……その後、数日の研究が必要となる。
H3	魂の貝殻遊び
P	魂（最大はCON）：◇◇◇
P	<b><i>死にゆく知性ある存在に触れ、その名と束縛の言葉を唱える</i></b>とき、+INTでロールする：
P	<b>10+なら</b>、その魂をあなたの肉に縛りつける。<b>7〜9</b><b>なら</b>、その魂を縛りつけるが、あなた自身の魂が弱る——最大HPを1d4+1減らす。
P	あなたの肉は、あなたのCONに等しい数の魂を縛ることができる。魂たちは夢の中に現れ、あなたの心や体が弱ったときには支配を争う。その名をここに書くこと：
P	<b><i>死の淵で6-を出した</i></b>とき、縛った魂をひとつ解き放ち、あなたの代わりに最後の扉（the Last Door）をくぐらせることができる。そうしたなら、あなたは7〜9を出したかのように生き延びる。ただし、あなたの体には、あなたを殺すはずだったものの痕が残る。
