# minor-the-angry-little-god · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 88d53588c10dc1a839f293567109e92fa9d5c061f1a36b7b986df544b1561987
# title: 怒れる小さな神
# nav_label: 怒れる小さな神
# description: 石像に閉じこもった傲慢で小さなフェイ、小アルカナム（The Angry Little God）。
PAGE	538
H3	石の偶像
P	◇、<i>粗雑、魔法</i>
P	どこかの洞窟か岩屋の奥で、根と瓦礫に隠され、干からびて腐った供物に囲まれて見つかった。フクロネズミの冷笑する顔、棘だらけの尾、耳の代わりに花を持つ、ずんぐりとした粗雑な像である。
P	この偶像は実は、ナルシストの小さなフェイ（Fae）で、石の偶像の姿で閉じ込められている（隠れているのか？意地を張って居座っているのか？）。その「神秘」を解き明かし、その庇護の恩恵を受けるには、あなたは……
C	……怒れる小さな神の罵倒に耐えながら、祠を修復せねばならない。
C	……埋もれた石と瓦礫から偶像を取り出さねばならない。偶像を傷つけたり侮辱したりする危険を冒して。
C	……偶像をだまして、あなたに永く借りを作るような供物を受け取らせねばならない。余剰1つ分の食べ物やウイスキーで十分なはずだ。
H3	怒れる小さな神
P	<b><i>偶像を目立つ場所に置き、</i></b><b><i>そのつつましき僕に目をかけてくださるよう懇願した、</i></b>とき、偶像は目覚める（が、動かないままである）。これを従者として扱う。もっとも、本人は自分を従者などとはまず思っていない。
ICON	icons/fae.svg
H3	全能なるシッスルウィスク（Thistlewisk）
P	<i>フェイ、微小、魔法、狡猾、尊大</i>
P	<b>HP</b> 15；<b>アーマー</b> 6（石、強靭さ）、鉄に対しては2 <b>特殊能力</b> 動かない；肉体のない声 <b>本能</b> 崇拝者に罵倒を浴びせる
P	• 理不尽な要求をする
P	• 食べ物の精髄を食らう
P	• 他人のとりとめない思考／記憶を感じ取る
P	• 強力な幻影や幻覚を織りなす（<i>近距離</i>、<i>範囲</i>）
P	• 退屈する／むくれて眠りにつく
P	<b>代価</b> 服従と、ますます大きくなる食べ物の供物（忠誠：◇◇◇ ）
P	<b>HP</b>
P	最初は15
