# minor-the-brooms-lullaby · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 4e2e4464381576f074f5685ab18163fba5646fc1ad6c5d826787c29f45fc9a8b
# title: 箒の子守唄
# nav_label: 箒の子守唄
# description: 掃きながら歌えば人々を眠らせるナナカマドの箒、小アルカナム（The Broom's Lullaby）。
PAGE	537
H3	つつましい箒
P	◇、<i>魔法、粗雑</i>
P	使い込まれたナナカマドの木の柄にすぎず、穂を新しくする必要がある。二度と気に留めることもないだろう。ただ……それを握って掃いていると、半ば忘れた調べを口ずさんでいる自分に気づく。
P	明らかに、この箒には見かけ以上のものがある。その神秘を解き明かすには、あなたは……
C	……箒の歌をすべて聞き取れるフェイ（Fae）を見つけねばならない。
C	……箒の歌を余すところなく教えてくれるよう、そのフェイを説き伏せねばならない。
C	……まるひと季節、少なくとも一日に一度箒を使い、そのたびに子守唄を歌わねばならない。
C	……子守唄を練習する間、時を超えた永い眠りに落ちる危険を冒す。
H3	箒の子守唄
P	<i>魔法、範囲、近距離</i>
P	<b><i>子守唄をそっと歌いながら</i></b><b><i>ある場所を掃き始める</i></b>とき、+CHAでロールする。<b>7+なら</b>、あなたを見聞きする者たちは、少なくともしばらくの間、足を止めて見入り聞き入る。その性質と状況に応じて、魅了されたり、困惑したり、呆気にとられたりしながら。傷つけられたり脅かされたりすれば、彼らは我に返る。<b>さらに、</b><b>10+なら</b>、誰も傷つけられたり脅かされたりしない限り、子守唄の間ずっと彼らの注意を引きつけておける。
P	<b><i>ずっと掃きながら</i></b><b><i>子守唄を最後まで歌った</i></b>とき、+CHAでロールする。<b>10+なら</b>、聞いた者はみな深い眠りに落ち、これをただの夢だったと片づけがちになる。<b>7〜9なら</b>、聞いた者はみなうとうとし始めるか、浅くびくりとする眠りに落ちるが、目覚めたときにはこのことをはっきり覚えている。<b>6-なら</b>、聴衆の少なくともひとりがはっと我に返り、これがどれほど奇妙なことかに気づく。
P	60
