# minor-the-drowning-scale · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 5beff948e9dbf102fd2bef570c1cf45dde2c9eb8f637f152d716cb48c8ec7601
# title: 溺れの鱗
# nav_label: 溺れの鱗
# description: 死にゆく者の最後の息を吸い込む冷たい鱗の首飾り、小アルカナム（The Drowning Scale）。
PAGE	518
H3	奇妙な首飾り
P	<i>魔法</i>
P	簡素な革紐に通された奇妙なお守りで、何かきらめく素材の鱗のようだ。触れると冷たく、じっとりとしている。初めて身に着けたとき、近くにいた者はみな寒さに震える。その後まもなく、あなたはしゃがれた、息を吸い込むようなささやきを聞き始める。
P	首飾りの秘密を解き明かすには……
C	……月がひと巡りする間、絶えずそれを身に着け、その問いに正直に答える。
C	……溺れる危険が生じるまで水中に身を沈め続ける。
C	……他の誰かを溺れさせ、その最後のあえぎを首飾りに捧げる。
H3	溺れの鱗
P	息：◇◇◇
P	<b><i>死にゆく者の上に身を屈め、その最後の息を</i></b><b><i>吸い出して首飾りに吹き込む</i></b>とき、+CONでロールする。<b>10+なら</b>、息を+1ホールドする。<b>7〜9なら</b>、1つ選ぶ：
B	息を1ホールドするが、それはあなたの肺を引き裂く。<i>消沈</i>をマークし、ひどい咳の発作に見舞われる。
B	首飾りは最後の息を貪欲に吸い込み、さらに冷たくなって溜め息をつく。あいにく、あなたは何の恩恵も得ない。
P	息をホールドしている限り、あなたは極寒に動じず、傷つかない。息を1消費すると、最大1時間まで空気なしで過ごせる。
P	<b><i>首飾りを外した</i></b>とき、ホールドしている息をすべて失う。
