# minor-the-silver-branch · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 88dbdbb19f445be3b72e015b265165d528372dff6428ba4189090648b9be3e18
# title: 銀の枝
# nav_label: 銀の枝
# description: フェイの領域の銀の木へ至る宝の地図、小アルカナム（The Silver Branch）。
PAGE	538
H3	宝の地図
P	<i>壊れやすい</i>
P	ぼろぼろの羊皮紙の切れ端。ある立石群から始まる道筋が描かれている：沼地を抜け、川をさかのぼり、滝の裏の場所へ、そして剣のように鋭い木々の森を抜けて。
P	一面に森の民（Forest Folk）の象形文字が走り書きされているが、終点には：銀の木と、ここだと示す×印。
P	地図の神秘を解き明かし、終点の宝を手に入れるには、あなたは……
C	……道の始まりを示す立石群を見つけねばならない。
C	……地図をたどって滝まで行かねばならない。
C	……その先のフェイ（Fae）の領域に入らねばならない。
C	……剣の木の森を抜けねばならない。
C	……銀の木の眠りを誘う魔法にかかる危険を冒す。
C	……銀の木から枝を1本手に入れねばならない。
C	……再び家にたどり着かねばならない。
H3	銀の枝
P	◇、<i>魔法</i>、<i>美しい</i>
C	◇ 瑞々しい、◇ 褪せつつある、◇ 枯れた 長さ1メートルほどで、白い花と、ちりちりと鳴る金色の実をたわわにつけている。驚くほど頑丈で、その力が使われない限りいつまでも瑞々しいままである。一度にフェイの領域を出られるこうした枝は1本だけである。
P	<b><i>銀の枝を鳴らす</i></b>とき、その音を聞く者はみな（<i>間合い</i>、<i>範囲</i>、あなたを除く）至福に満たされ、数時間の間憂いを忘れる。+CHAでロールする：
P	<b>10+なら</b>、1つ選ぶ。<b>7〜9なら</b>、1つ選び、GMがもう1つ選ぶ。<b>6-なら</b>、3つすべて。
B	枝が褪せ始める。すでに褪せつつあるなら、枯れてその力を失う
B	何人か（誰かはGMが選ぶ）は何日も何週間も至福に浸り、その間に弱り果てて惨めになっていく
B	何人か（誰かはGMが選ぶ）は、再びその音を聞くことに取り憑かれる
