# minor-the-six-locks-of-sajua · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: c055199618a593b8fdfd5acd1ca7a0eb0c42c1f3ef26f1a44ef2373d20511ee1
# title: サジュアの六つの錠
# nav_label: サジュアの六つの錠
# description: 死者の魂を封じる錆びた錠の鎖、小アルカナム（The Six Locks of Sajua）。
PAGE	515
H3	錆びた錠の鎖
P	◇、<i>魔法</i>
P	6つの輪からなる鎖で、どの輪にも腐食した青銅の南京錠が下がっている。1d4+1個の錠には様式化された顔が刻まれ、錆びたしかめ面のまま凍りついている。これらの錠の鍵は遠い昔に失われた。
P	<b><i>顔の刻まれた錠のひとつを手に取り、</i></b><b><i>その目を覗き込む</i></b>とき、中に縛られた死者の魂の声が聞こえる：憎しみに満ち、必死で、解放を懇願している。
P	これらの錠を使いこなすには……
C	……シェイドのひとりを説き伏せ、どのように捕らえられたかを明かさせる。
C	……シェイドを説き伏せ、錠が開けられたら何が起こるかを明かさせる。
C	……錠を開ける方法を見つける。
H3	サジュアの六つの錠
P	騒擾：◇◇◇◇◇◇◇
P	<b><i>死にゆく者の血を開いたサジュアの錠に</i></b><b><i>塗りつけ、錠を閉じる</i></b>とき、
P	+CONでロールする。<b>10+なら</b>、その魂は錠に縛られる。
P	<b>7〜9なら</b>、魂は縛られるが、その場にあるありふれた金属はすべて錆びるか曇り、腐食して弱くなる。
P	<b><i>縛られた魂から約束を引き出し、</i></b>
P	<b><i>それを縛る錠を開けた</i></b>とき、魂は自らの道を行く前に、約束の文言どおりにそれを果たすよう強いられる。GMにそれを亡霊として扱うよう伝える（必ずしも従者としてではない）。開いた錠は、少なくとも当面は、その係留となる。
P	魂を解き放つたびに、騒擾を1マークし、1d6をロールする。出目があなたの騒擾より小さければ、遠くで蒼ざめた狩人（the Pale Hunter）の呼び声が聞こえる。近いうちの訪問を覚悟すること。
P	16
