# minor-thunderous-bellow · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 9c62b842f7aaa712fc4e4367256c1eb5a95894461fe032665085b78248711f28
# title: 轟く咆哮
# nav_label: 轟く咆哮
# description: 原初の嵐を宿した雷鳴の咆哮の呪文を刻んだ青銅板、小アルカナム（Thunderous Bellow）。
PAGE	510
H3	半ば埋もれた銘板
P	◇◇、<i>かさばる</i>、<i>魔法</i>
P	平原（the Flats）のどこか、あるいは恐れの川（the Dread River）の近くで、土から突き出た青銅の板。へこみ、少し歪んでおり、表面には造り手のルーンと秘教的な図が刻まれている。いったいどうしてこんなところに？
P	板には呪文の手順が記されており、あなたはそれを学ぶことができる。だが……
C	……まず板を掘り出して清めねばならない。
C	……造り手のルーンを解読せねばならない。
C	……数週間の研究が必要となる。
C	……練習の間、声、聴覚、隣人たちを損なう危険を冒す。
H3	轟く咆哮
P	<b><i>原初の嵐を身に通し、</i></b><b><i>雷鳴のごとき咆哮を上げる</i></b>とき、1d6ダメージ（アーマー無視）を受け、+CONでロールする。<b>10+なら</b>、近くにいる者は（あなたを除き）みな2つ選ばねばならない。<b>7〜9なら</b>、近くにいる者は（あなたを除き）みな1つ選ばねばならない。
B	持っているものを落とし、耳を覆う
B	しばしの間、耳が聞こえなくなり方向感覚を失う
B	よろめいてあなたから数歩離れる 6
