# minor-truth-seeds · ja · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: ja
# source_sha256: 5c4a114b0bde74f74d690285f35879935fa534fa09f81b224b889b72a14dcc38
# title: 真実の種
# nav_label: 真実の種
# description: 約束を破る者の体内で芽吹く魔法の種の昔話、小アルカナム（Truth Seeds）。
PAGE	508
H3	昔話
P	こんな古い話がある。マーシュエッジ（Marshedge）の年老いた薬草番が、沼のトロルをだまして魔法のかかった種の莢を食べさせる話だ。彼女は、自分を放してくれると約束するなら、もっと食べ物を取ってきてやるとトロルに約束する。もちろんトロルは約束を破って彼女を食べようとするが、そのとたんに種の莢が弾けて、グウィル・イラクサの塊となる。
P	魔法のかかった種の莢の秘密を学ぶことができる。だが次のいずれかが必要だ：
C	知識に通じたマーシュエッジの薬草師に儀式を教えてもらう
C	友好的な、あるいは縛られたグウィル・イラクサの精霊に、その誕生の秘密を明かしてもらう
H3	真実の種
P	<b><i>グウィル・イラクサの種の莢ひと組を</i></b><b><i>あなた自身の血に浸し、その上で秘密をささやき、</i></b><b><i>力ある言葉を唱える</i></b>とき、それは真実の種となる
P	（<i>魔法）</i>。
P	あなたと他の者が<b><i>それぞれ真実の種を食べ、</i></b><b><i>互いに約束を交わした</i></b>とき、種は腹の中にとどまり、約束が守られるようにする。
P	<b><i>あなたが約束を破った</i></b>とき、腹の中の真実の種が激しく芽吹いて成長しきったグウィル・イラクサとなり、有利で1d10+3ダメージ（<i>凄惨</i>、アーマー無視）を与える。そしてあなたの体からグウィル・イラクサが生えることになる。
P	<b><i>相手が約束を破った</i></b>なら、相手が同じ運命をたどる。
P	2
