# minor-aalz-galts-sudden-sinkhole · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: dddc9f4550d97dfde91eebf12358fa1c8a3b03733d52254767714604a256eeb2
# title: Nagłe Zapadlisko Aalza Galta
# nav_label: Nagłe Zapadlisko Aalza Galta
# description: Nagłe Zapadlisko Aalza Galta (Aalz Galt's Sudden Sinkhole), mniejsze arkanum ze Stonetop: zaklęcie kształtującego kamień, które wydrąża pustkę pod ziemią lub skałą.
PAGE	509
H3	Dormitorium olbrzyma
P	<i>magiczne</i>
P	W ruinie Władców Kamienia (Stone Lords) jest stare mieszkanie noszące psychiczny odcisk swego lokatora, kształtującego kamień o niemałej biegłości.
P	Gdy <b><i>wchodzisz do dormitorium</i></b>, ogarnia cię wizja tego ucznia wymyślającego swoje pierwsze zaklęcie. Możesz się nauczyć tego zaklęcia, ale…
C	… musisz mieć jakiś talent do magii.
C	… zajmie to tygodnie powtarzanego obcowania z wizją i nauki.
C	… grozi ci trwały uszczerbek na ciele i zdrowiu.
H3	Nagłe Zapadlisko Aalza Galta
P	Gdy <b><i>śpiewasz dudniącą nutę i skupiasz</i></b> <b><i>wolę na punkcie ziemi lub kamienia</i></b>, zaznacz osłabienie i rzuć +INT:
P	<b>Przy 10+</b> ziemia lub kamień, na których się skupiasz, pozostają nienaruszone, ale ziemia lub kamień pod nimi kruszą się, rozpuszczają i odpływają, tworząc pustą kieszeń mniej więcej tak szeroką, jak możesz objąć ramionami, i mniej więcej tak głęboką, jak jesteś wysoki. Powierzchnia wydaje się stabilna, ale łatwo pęka lub załamuje się pod obciążeniem.
P	<b>Przy 7-9</b> pieśń działa jak wyżej, ale wysysa z twojego ciała jeszcze więcej energii. Zaznacz kolejne osłabienie i otrzymaj 2d4 obrażeń (ignoruje pancerz).
P	4
