# minor-aetherium-spear · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 9d296a21c043dc11a04b767f26642e6653376d601794f8e5b0ae559f16370d3b
# title: Włócznia z Eterium
# nav_label: Włócznia z Eterium
# description: Włócznia z Eterium (Aetherium Spear), mniejsze arkanum ze Stonetop: skorodowany grot, który po odnowieniu miota błyskawice.
PAGE	531
H3	Skorodowany grot
P	◇ <b>,</b> <i>magiczny</i>
P	Ukryty w jakimś skarbcu, jaskini lub ruinie Twórców leży kawał miedzi, mocno skorodowany i pokryty grudami patyny. Jeśli zmrużysz oczy, niejasno dostrzeżesz kształt grotu włóczni.
P	O, a czy to nie słabe ślady run?
P	By odkryć sekrety tej prastarej broni, musisz…
C	… starannie usunąć korozję odpowiednimi chemikaliami, nie niszcząc przy tym run.
C	… odcyfrować runy i to, jak należy je ładować.
C	… nasycić odnowiony grot błyskawicą.
C	… osadzić grot na drzewcu z brzeziny.
C	… namoczyć grot we własnej krwi, by zawłaszczyć jego moc.
H3	Włócznia z Eterium
P	◇, <i>blisko</i>, <i>miotany, magiczny,</i> +1 obrażeń
P	Gdy <b><i>Zwierasz Się, używając włóczni z eterium, i</i></b> <b><i>wyrzucisz 7+</i></b>, możesz zaznaczyć osłabienie, by razić wroga błyskawicą, zadając +1d6 obrażeń (<i>odrzucający</i>, <i>głośny</i>).
P	Gdy wycelujesz włócznię z eterium we wrogów i wydasz gromki okrzyk bojowy, zaznacz osłabienie i uwolnij wyładowanie błyskawicy (<i>daleko</i>, <i>obszar</i>, <i>odrzucający</i>, <i>głośny</i>, <i>niebezpieczny</i>), rzucając +STR, by Wypuścić Pocisk, zamiast +DEX (i nie możesz wybrać wyczerpania amunicji). <b>Przy 6-</b>, oprócz wszystkiego, co jeszcze powie MG, grot traci moc, a brzozowe drzewce obraca się w popiół – wyczyść 3 ostatnie pola wyboru na awersie tej karty.
