# minor-baleful-utterance · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: 8742d561268dea99e5ba8be2dc82641c2cfd72ffb8fff8d40c4f2a95fbf4f62e
# title: Złowrogie Słowo
# nav_label: Złowrogie Słowo
# description: Mniejsze arkanum Złowrogie Słowo (Baleful Utterance): szepczące słowo uwięzione w kręgu run, które unicestwia każdy przedmiot, do jakiego sięgnie twój głos.
PAGE	530
H3	Szepczące… słowo?
P	<i>magiczne</i><b>,</b> <i>nieruchome</i><b>,</b> <i>przerażające</i>
P	Ukryte przed słońcem, w kręgu run, unosi się w powietrzu... słowo? Wije się i wierci, pragnąc wolności, i szepcze obietnice mocy. Ale runy wokół niego napełniają cię grozą.
P	Aby odkryć jego sekrety, musisz…
C	… opanować strach i zmusić się, by je pochwycić i przyjąć w siebie.
C	… wytrzymać, gdy targa twoim ciałem i duszą, próbując cię unicestwić (2d6 obrażeń, <i>krwawy</i>, ignoruje pancerz).
C	… spędzić tygodnie w odosobnieniu, oswajając umysł ze straszliwym słowem, które teraz mieszka w twojej głowie.
C	… zaryzykować skażenie okolicy i zniszczenie swojego dobytku lub czegokolwiek innego w pobliżu, ćwicząc wypowiadanie straszliwego słowa na głos.
H3	Złowrogie Słowo
P	Gdy <b><i>wypowiadasz straszliwe słowo</i></b>, wskaż przedmiot, do którego sięga twój głos – rozpada się, rozplata lub w inny sposób ulega unicestwieniu.
P	Następnie rzuć +CON: <b>przy 10+</b> wybierz 1; <b>przy 7–9</b> wybierz 1, a MG wybiera kolejne; <b>przy 6-</b> wybierz 1, oprócz wszystkiego, co jeszcze powie MG; <b>tak czy inaczej</b>, jeśli zniszczony przedmiot był <i>niezniszczalny</i>, wybierz jeszcze 1.
B	Gardło ci płonie, a język pokrywa się pęcherzami; zaznacz <i>przygnębiony</i> i przez kilka dni ledwie możesz szeptać.
B	Twoje uszy i uszy wszystkich, którzy usłyszeli słowo, zaczynają krwawić (1d4 obrażeń, ignoruje pancerz, chwilowa głuchota).
B	1d4 inne przedmioty wybrane przez MG również rozpadają się/rozplatają/ulegają unicestwieniu.
B	To miejsce zostaje skażone przez Istoty z Głębin; jeśli już było skażone, jest gorzej; w przeciwnym razie staje się miejscem omijanym, miejscem niepokoju i trwogi.
