# minor-dancing-wind-spirit · pl · translation of the English book text.
# Generated by i18n/corpus_xlate.py apply — edit the work file, not this.
# lang: pl
# source_sha256: f09662df8813cc8c620d5c4539c7c29978cbb4f49fd5bb8fb967be31eb57b511
# title: Tańczący Duch Wiatru
# nav_label: Tańczący Duch Wiatru
# description: Tańczący Duch Wiatru (Dancing Wind Spirit): mniejsze arkanum – pęknięty flet z czerwonego drewna, który przywołuje psotnego andalau, ducha zefiru.
PAGE	523
H3	Pęknięty flet
P	◇, <i>prymitywny</i>, <i>magiczny</i>
P	Długi, gruby flet wyrzeźbiony z czerwonego drewna, z cienkim, ale widocznym pęknięciem od spodu. Łatwo łapie wiatr i wydaje piszczący dźwięk.
P	Każdy, kto zagra na flecie kilka nut, pozna, że jest w nim jakaś magia.
P	Gdy <b><i>spędzasz kilka dni na ćwiczeniu, grając</i></b> <b><i>na flecie tam, gdzie wiatr może cię usłyszeć</i></b>, rzuć
P	+CHA: <b>przy 10+</b> zaznacz 1 kółko; <b>przy 7–9</b> zaznacz 1 kółko, ale przywołujesz rozdrażnionego ducha zefiru;
P	<b>przy 6-</b> nie robisz postępów, ale udaje ci się przywołać rozdrażniony zefir.
MARK	3
P	Gdy <b><i>zaznaczysz wszystkie trzy kółka</i></b>, odkrywasz tajemnice fletu.
H3	Tańczący Duch Wiatru
P	Gdy <b><i>grasz melodię, by sam wiatr</i></b> <b><i>zatańczył</i></b>, przejawia się andalau (duch zefiru) związany z fletem. Traktuj go jak stronnika; ma na początku
P	1 Lojalności. Gdy <b><i>odprawiasz ducha,</i></b> <b><i>gdy nie ma żadnej Lojalności</i></b>, flet pęka i rozpada się; andalau zostaje uwolniony.
ICON	icons/spirit.svg
H3	Andalau z fletu
P	<i>Duch, drobny, skradający się, psotny</i>
P	<b>HP</b> 8; <b>Pancerz</b> 0
P	<b>Obrażenia</b> brak
P	<b>Instynkt</b> bawić się i swawolić
P	• Przejaw się jako trzepoczący podmuch wiatru (rani go tylko sól)
P	• Przekaż szeptaną wiadomość
P	• Poprzestawiaj drobiazgi (kurz, liście itd.)
P	• Zirytuj lub przestrasz kogoś
P	<b>Cena</b> rozrywka (Lojalność ◇◇◇ )
P	<b>HP</b>
P	Na początku 8
